"generation","hypervolume","best_so_far"
0,3.6205,3.6205
1,3.7203,3.7203
2,3.7285,3.7285
3,3.735,3.735
4,3.7377,3.7377
5,3.7397,3.7397
6,3.74,3.74
7,3.7419,3.7419
8,3.7422,3.7422
9,3.7433,3.7433
10,3.7433,3.7433
11,3.7433,3.7433
12,3.7434,3.7434
13,3.7458,3.7458
14,3.7459,3.7459
15,3.746,3.746
16,3.7463,3.7463
17,3.7463,3.7463
18,3.7465,3.7465
19,3.7466,3.7466
20,3.7468,3.7468
21,3.7471,3.7471
22,3.7472,3.7472
23,3.7472,3.7472
24,3.7472,3.7472
25,3.7473,3.7473
26,3.7476,3.7476
27,3.7477,3.7477
28,3.7477,3.7477
29,3.7478,3.7478
30,3.7478,3.7478
31,3.7478,3.7478
32,3.7478,3.7478
33,3.7478,3.7478
34,3.7478,3.7478
35,3.7479,3.7479
36,3.7479,3.7479
37,3.7479,3.7479
38,3.7479,3.7479
39,3.7479,3.7479
40,3.7479,3.7479
41,3.7479,3.7479
42,3.7479,3.7479
43,3.7479,3.7479
44,3.748,3.748
45,3.748,3.748
46,3.748,3.748
47,3.748,3.748
48,3.748,3.748
49,3.7481,3.7481
50,3.7481,3.7481
