"generation","hypervolume","best_so_far"
0,3.6231,3.6231
1,3.7215,3.7215
2,3.7309,3.7309
3,3.7351,3.7351
4,3.7385,3.7385
5,3.7409,3.7409
6,3.7424,3.7424
7,3.7435,3.7435
8,3.7447,3.7447
9,3.7457,3.7457
10,3.7464,3.7464
11,3.7464,3.7464
12,3.7483,3.7483
13,3.7483,3.7483
14,3.7484,3.7484
15,3.7484,3.7484
16,3.7484,3.7484
17,3.7484,3.7484
18,3.7484,3.7484
19,3.7484,3.7484
20,3.7485,3.7485
21,3.7485,3.7485
22,3.7485,3.7485
23,3.7485,3.7485
24,3.7485,3.7485
25,3.7485,3.7485
26,3.7485,3.7485
27,3.7488,3.7488
28,3.7488,3.7488
29,3.7488,3.7488
30,3.7488,3.7488
31,3.7488,3.7488
32,3.7488,3.7488
33,3.7488,3.7488
34,3.7488,3.7488
35,3.7488,3.7488
36,3.7488,3.7488
37,3.7489,3.7489
38,3.7489,3.7489
39,3.7489,3.7489
40,3.7489,3.7489
41,3.7489,3.7489
42,3.7491,3.7491
43,3.7491,3.7491
44,3.7491,3.7491
45,3.7494,3.7494
46,3.7496,3.7496
47,3.7497,3.7497
48,3.7497,3.7497
49,3.7497,3.7497
50,3.7497,3.7497
