"generation","hypervolume","best_so_far"
0,3.6225,3.6225
1,3.7216,3.7216
2,3.7301,3.7301
3,3.7362,3.7362
4,3.7387,3.7387
5,3.7405,3.7405
6,3.7424,3.7424
7,3.7427,3.7427
8,3.7432,3.7432
9,3.7442,3.7442
10,3.7443,3.7443
11,3.7444,3.7444
12,3.7455,3.7455
13,3.746,3.746
14,3.7461,3.7461
15,3.7461,3.7461
16,3.7461,3.7461
17,3.7461,3.7461
18,3.7461,3.7461
19,3.7462,3.7462
20,3.7462,3.7462
21,3.7462,3.7462
22,3.7463,3.7463
23,3.7463,3.7463
24,3.7463,3.7463
25,3.7464,3.7464
26,3.7466,3.7466
27,3.7466,3.7466
28,3.7466,3.7466
29,3.7466,3.7466
30,3.7466,3.7466
31,3.7466,3.7466
32,3.7466,3.7466
33,3.7468,3.7468
34,3.7468,3.7468
35,3.7471,3.7471
36,3.7471,3.7471
37,3.7471,3.7471
38,3.7472,3.7472
39,3.7473,3.7473
40,3.7476,3.7476
41,3.7477,3.7477
42,3.7477,3.7477
43,3.7478,3.7478
44,3.7479,3.7479
45,3.748,3.748
46,3.748,3.748
47,3.748,3.748
48,3.748,3.748
49,3.748,3.748
50,3.748,3.748
