"generation","hypervolume","best_so_far"
0,3.6206,3.6206
1,3.7187,3.7187
2,3.7303,3.7303
3,3.734,3.734
4,3.738,3.738
5,3.7417,3.7417
6,3.743,3.743
7,3.7432,3.7432
8,3.7439,3.7439
9,3.7441,3.7441
10,3.7442,3.7442
11,3.7442,3.7442
12,3.7442,3.7442
13,3.7442,3.7442
14,3.7443,3.7443
15,3.7443,3.7443
16,3.7443,3.7443
17,3.7443,3.7443
18,3.7444,3.7444
19,3.7446,3.7446
20,3.7446,3.7446
21,3.7446,3.7446
22,3.7448,3.7448
23,3.7448,3.7448
24,3.7448,3.7448
25,3.745,3.745
26,3.745,3.745
27,3.745,3.745
28,3.7452,3.7452
29,3.7452,3.7452
30,3.7457,3.7457
31,3.7458,3.7458
32,3.7458,3.7458
33,3.7458,3.7458
34,3.7459,3.7459
35,3.7459,3.7459
36,3.7459,3.7459
37,3.7459,3.7459
38,3.7459,3.7459
39,3.7459,3.7459
40,3.7459,3.7459
41,3.7459,3.7459
42,3.7459,3.7459
43,3.7459,3.7459
44,3.7459,3.7459
45,3.7459,3.7459
46,3.746,3.746
47,3.746,3.746
48,3.746,3.746
49,3.7461,3.7461
50,3.7461,3.7461
