"generation","hypervolume","best_so_far"
0,3.6224,3.6224
1,3.7212,3.7212
2,3.7306,3.7306
3,3.7356,3.7356
4,3.7394,3.7394
5,3.7399,3.7399
6,3.7425,3.7425
7,3.744,3.744
8,3.7448,3.7448
9,3.7452,3.7452
10,3.7455,3.7455
11,3.7456,3.7456
12,3.7456,3.7456
13,3.7456,3.7456
14,3.7456,3.7456
15,3.7456,3.7456
16,3.7457,3.7457
17,3.7459,3.7459
18,3.7459,3.7459
19,3.7462,3.7462
20,3.7462,3.7462
21,3.7462,3.7462
22,3.7469,3.7469
23,3.7469,3.7469
24,3.747,3.747
25,3.7471,3.7471
26,3.7471,3.7471
27,3.7472,3.7472
28,3.7472,3.7472
29,3.7472,3.7472
30,3.7472,3.7472
31,3.7472,3.7472
32,3.7472,3.7472
33,3.7472,3.7472
34,3.7472,3.7472
35,3.7473,3.7473
36,3.7473,3.7473
37,3.7473,3.7473
38,3.7473,3.7473
39,3.7473,3.7473
40,3.7473,3.7473
41,3.7473,3.7473
42,3.7473,3.7473
43,3.7473,3.7473
44,3.7473,3.7473
45,3.7473,3.7473
46,3.7473,3.7473
47,3.7473,3.7473
48,3.7473,3.7473
49,3.7473,3.7473
50,3.7473,3.7473
