"generation","hypervolume","best_so_far"
0,3.6201,3.6201
1,3.7195,3.7195
2,3.7269,3.7269
3,3.7343,3.7343
4,3.7359,3.7359
5,3.7371,3.7371
6,3.7414,3.7414
7,3.7417,3.7417
8,3.7422,3.7422
9,3.7428,3.7428
10,3.7431,3.7431
11,3.7434,3.7434
12,3.7435,3.7435
13,3.7443,3.7443
14,3.7445,3.7445
15,3.7447,3.7447
16,3.7448,3.7448
17,3.7449,3.7449
18,3.7451,3.7451
19,3.7451,3.7451
20,3.7456,3.7456
21,3.7456,3.7456
22,3.7456,3.7456
23,3.7458,3.7458
24,3.7458,3.7458
25,3.746,3.746
26,3.7463,3.7463
27,3.7464,3.7464
28,3.7464,3.7464
29,3.7464,3.7464
30,3.7464,3.7464
31,3.7464,3.7464
32,3.7464,3.7464
33,3.7464,3.7464
34,3.7464,3.7464
35,3.7464,3.7464
36,3.7464,3.7464
37,3.7464,3.7464
38,3.7464,3.7464
39,3.7464,3.7464
40,3.7464,3.7464
41,3.7465,3.7465
42,3.7465,3.7465
43,3.7465,3.7465
44,3.7471,3.7471
45,3.7471,3.7471
46,3.7471,3.7471
47,3.7471,3.7471
48,3.7472,3.7472
49,3.7472,3.7472
50,3.7472,3.7472
