"corrida","hv_best","segundos"
1,3.61,164.784251928329
2,3.61,164.917140960693
3,3.61,162.272504091263
4,3.61,166.740481138229
5,3.61,154.479279994965
6,3.61,153.742783069611
7,3.61,159.023066997528
8,3.7437,150.499488830566
9,3.61,157.461202144623
10,3.61,153.66402387619
11,3.61,153.245364904404
