"generation","hypervolume","best_so_far"
0,3.622,3.622
1,3.7212,3.7212
2,3.7285,3.7285
3,3.7335,3.7335
4,3.7387,3.7387
5,3.7394,3.7394
6,3.7418,3.7418
7,3.7432,3.7432
8,3.7433,3.7433
9,3.7433,3.7433
10,3.7435,3.7435
11,3.7435,3.7435
12,3.7435,3.7435
13,3.7435,3.7435
14,3.7435,3.7435
15,3.7435,3.7435
16,3.7438,3.7438
17,3.7441,3.7441
18,3.745,3.745
19,3.745,3.745
20,3.7452,3.7452
21,3.7452,3.7452
22,3.7453,3.7453
23,3.7453,3.7453
24,3.7453,3.7453
25,3.7453,3.7453
26,3.7453,3.7453
27,3.7453,3.7453
28,3.7454,3.7454
29,3.7454,3.7454
30,3.7454,3.7454
31,3.7454,3.7454
32,3.7454,3.7454
33,3.7454,3.7454
34,3.7454,3.7454
35,3.7454,3.7454
36,3.7454,3.7454
37,3.7454,3.7454
38,3.7454,3.7454
39,3.7454,3.7454
40,3.7454,3.7454
41,3.7455,3.7455
42,3.7455,3.7455
43,3.7455,3.7455
44,3.7455,3.7455
45,3.7455,3.7455
46,3.7455,3.7455
47,3.7456,3.7456
48,3.7456,3.7456
49,3.7456,3.7456
50,3.7456,3.7456
