"generation","hypervolume","best_so_far"
0,3.6227,3.6227
1,3.7213,3.7213
2,3.7281,3.7281
3,3.7342,3.7342
4,3.7381,3.7381
5,3.7393,3.7393
6,3.7417,3.7417
7,3.7428,3.7428
8,3.7432,3.7432
9,3.7436,3.7436
10,3.7437,3.7437
11,3.7438,3.7438
12,3.7442,3.7442
13,3.7442,3.7442
14,3.7444,3.7444
15,3.7444,3.7444
16,3.7445,3.7445
17,3.7446,3.7446
18,3.7447,3.7447
19,3.7447,3.7447
20,3.7448,3.7448
21,3.7448,3.7448
22,3.7449,3.7449
23,3.745,3.745
24,3.745,3.745
25,3.745,3.745
26,3.7452,3.7452
27,3.7453,3.7453
28,3.7454,3.7454
29,3.7456,3.7456
30,3.7456,3.7456
31,3.7459,3.7459
32,3.7459,3.7459
33,3.7459,3.7459
34,3.746,3.746
35,3.7461,3.7461
36,3.7461,3.7461
37,3.7464,3.7464
38,3.7464,3.7464
39,3.7464,3.7464
40,3.7464,3.7464
41,3.7464,3.7464
42,3.7465,3.7465
43,3.7465,3.7465
44,3.7466,3.7466
45,3.7469,3.7469
46,3.747,3.747
47,3.7472,3.7472
48,3.7472,3.7472
49,3.7472,3.7472
50,3.7476,3.7476
