"generation","hypervolume","best_so_far"
0,3.6212,3.6212
1,3.7204,3.7204
2,3.7289,3.7289
3,3.7347,3.7347
4,3.7365,3.7365
5,3.7379,3.7379
6,3.7381,3.7381
7,3.7405,3.7405
8,3.7418,3.7418
9,3.7429,3.7429
10,3.7429,3.7429
11,3.7429,3.7429
12,3.7429,3.7429
13,3.743,3.743
14,3.743,3.743
15,3.743,3.743
16,3.743,3.743
17,3.743,3.743
18,3.743,3.743
19,3.743,3.743
20,3.7431,3.7431
21,3.7431,3.7431
22,3.7436,3.7436
23,3.7436,3.7436
24,3.7436,3.7436
25,3.7437,3.7437
26,3.7437,3.7437
27,3.7437,3.7437
28,3.7438,3.7438
29,3.7438,3.7438
30,3.7438,3.7438
31,3.7439,3.7439
32,3.7441,3.7441
33,3.7441,3.7441
34,3.7441,3.7441
35,3.7441,3.7441
36,3.7442,3.7442
37,3.7442,3.7442
38,3.7442,3.7442
39,3.7442,3.7442
40,3.7442,3.7442
41,3.7444,3.7444
42,3.7444,3.7444
43,3.7444,3.7444
44,3.7444,3.7444
45,3.7444,3.7444
46,3.7444,3.7444
47,3.7445,3.7445
48,3.7445,3.7445
49,3.7445,3.7445
50,3.7445,3.7445
