"iteration","current","best_so_far"
1,3.5412,3.61
2,3.4849,3.61
3,3.4366,3.61
4,3.393,3.61
5,3.3586,3.61
6,3.3301,3.61
7,3.2951,3.61
8,3.2703,3.61
9,3.2451,3.61
10,3.2203,3.61
11,3.1748,3.61
12,3.1646,3.61
13,3.1441,3.61
14,3.1227,3.61
15,3.0947,3.61
16,3.0709,3.61
17,3.0497,3.61
18,3.0281,3.61
19,3.0112,3.61
20,2.9931,3.61
21,2.9669,3.61
22,2.9538,3.61
23,2.9307,3.61
24,2.9097,3.61
25,2.8883,3.61
26,2.8834,3.61
27,2.8668,3.61
28,2.8534,3.61
29,2.839,3.61
30,2.8145,3.61
31,2.8024,3.61
32,2.8007,3.61
33,2.7747,3.61
34,2.7513,3.61
35,2.7426,3.61
36,2.7337,3.61
37,2.7075,3.61
38,2.703,3.61
39,2.6782,3.61
40,2.6513,3.61
41,2.648,3.61
42,2.6447,3.61
43,2.6342,3.61
44,2.62,3.61
45,2.5962,3.61
46,2.5996,3.61
47,2.5793,3.61
48,2.5676,3.61
49,2.5588,3.61
50,2.5401,3.61
51,2.5292,3.61
52,2.5182,3.61
53,2.5096,3.61
54,2.5012,3.61
55,2.4899,3.61
56,2.4827,3.61
57,2.4598,3.61
58,2.4556,3.61
59,2.4363,3.61
60,2.4312,3.61
61,2.4199,3.61
62,2.4049,3.61
63,2.4007,3.61
64,2.3888,3.61
65,2.3883,3.61
66,2.3759,3.61
67,2.3605,3.61
68,2.3566,3.61
69,2.341,3.61
70,2.32,3.61
71,2.3103,3.61
72,2.3041,3.61
73,2.2849,3.61
74,2.2709,3.61
75,2.2694,3.61
76,2.2609,3.61
77,2.2532,3.61
78,2.2476,3.61
79,2.242,3.61
80,2.2328,3.61
81,2.2176,3.61
82,2.2103,3.61
83,2.1935,3.61
84,2.1854,3.61
85,2.176,3.61
86,2.1719,3.61
87,2.163,3.61
88,2.1604,3.61
89,2.1365,3.61
90,2.1261,3.61
91,2.1238,3.61
92,2.0964,3.61
93,2.1041,3.61
94,2.0887,3.61
95,2.0832,3.61
96,2.0589,3.61
97,2.0473,3.61
98,2.041,3.61
99,2.0419,3.61
100,2.0389,3.61
101,2.022,3.61
102,2.0098,3.61
103,2.0089,3.61
104,1.9946,3.61
105,1.9956,3.61
106,1.9817,3.61
107,1.968,3.61
108,1.9709,3.61
109,1.9538,3.61
110,1.9544,3.61
111,1.9391,3.61
112,1.9291,3.61
113,1.9254,3.61
114,1.9336,3.61
115,1.9077,3.61
116,1.9102,3.61
117,1.9056,3.61
118,1.8941,3.61
119,1.9023,3.61
120,1.8802,3.61
121,1.876,3.61
122,1.8563,3.61
123,1.8589,3.61
124,1.844,3.61
125,1.8423,3.61
126,1.8407,3.61
127,1.8429,3.61
128,1.8255,3.61
129,1.8183,3.61
130,1.8263,3.61
131,1.8125,3.61
132,1.7979,3.61
133,1.8028,3.61
134,1.7903,3.61
135,1.7754,3.61
136,1.7702,3.61
137,1.7626,3.61
138,1.7589,3.61
139,1.7546,3.61
140,1.7497,3.61
141,1.7393,3.61
142,1.7343,3.61
143,1.7348,3.61
144,1.7323,3.61
145,1.7255,3.61
146,1.7139,3.61
147,1.7041,3.61
148,1.7064,3.61
149,1.6921,3.61
150,1.6815,3.61
151,1.681,3.61
152,1.668,3.61
153,1.661,3.61
154,1.6536,3.61
155,1.6467,3.61
156,1.6422,3.61
157,1.6355,3.61
158,1.6288,3.61
159,1.625,3.61
160,1.6015,3.61
161,1.6026,3.61
162,1.5936,3.61
163,1.5901,3.61
164,1.5994,3.61
165,1.5795,3.61
166,1.5838,3.61
167,1.5683,3.61
168,1.567,3.61
169,1.5624,3.61
170,1.5529,3.61
171,1.5557,3.61
172,1.5295,3.61
173,1.5252,3.61
174,1.5385,3.61
175,1.5066,3.61
176,1.5017,3.61
177,1.499,3.61
178,1.5097,3.61
179,1.5011,3.61
180,1.4856,3.61
181,1.48,3.61
182,1.4782,3.61
183,1.4657,3.61
184,1.4702,3.61
185,1.4468,3.61
186,1.4361,3.61
187,1.4574,3.61
188,1.4375,3.61
189,1.4325,3.61
190,1.4125,3.61
191,1.4135,3.61
192,1.4063,3.61
193,1.4149,3.61
194,1.3919,3.61
