"corrida","hv_max","segundos"
1,3.7456,160.24355006218
2,3.7461,155.319339990616
3,3.7473,161.303613901138
4,3.7445,153.848079919815
5,3.7501,155.127429008484
6,3.7472,152.457489013672
7,3.748,151.276350975037
8,3.7476,177.333679914474
9,3.7497,155.6683781147
10,3.7463,158.502299070358
11,3.7481,164.876605987549
