TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Fruitachampsa;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Kimmeridgian;157.3;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;USA;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Shartegosuchidae;Fruitachampsa;https://www.mindat.org/
Hsisosuchus_chowi;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;163.5;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157.3;extinct ;China;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Shartegosuchidae;Hsisosuchus;https://www.mindat.org/
Hsisosuchus_chungkingensis;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;163.5;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;China;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Shartegosuchidae;Hsisosuchus;https://www.mindat.org/
A._tsangatsangana;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Madagascar;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Araripesuchus;https://www.mindat.org/
A._buitreraensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;99.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Araripesuchus;https://www.mindat.org/
A._gomesii;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;112.03;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;109;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Araripesuchus;https://www.mindat.org/
Uruguaysuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;extinct ;Uruguay;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Uruguaysuchidae;Uruguaysuchus;https://www.mindat.org/
A._patagonicus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;99.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Araripesuchus;https://www.mindat.org/
A._wegeneri;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;extinct ;Cameroon-Niger-Tunisia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Araripesuchus;https://www.mindat.org/
Anatosuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;extinct ;Niger;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Uruguaysuchidae;Anatosuchus;https://www.mindat.org/
