TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Caipirasuchus.montealtensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Caipirasuchus;https://www.mindat.org/
Caipirasuchus.paulistanus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Caipirasuchus;https://www.mindat.org/
Yacarerani;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;93.9;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;extinct ;Bolivia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Yacarerani;https://www.mindat.org/
Adamantinasuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Sphagesauridae;Adamantinasuchus;https://www.mindat.org/
Burkesuchus;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Kimmeridgian;152.1;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;Chile;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Burkesuchus;https://www.nature.com/articles/s41598-021-93994-z
Theriosuchus;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Bajocian;171.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Denmark-France-Germany-Morocco-Portugal-Romania-Spain-Thailand-United Kingdom-USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Atoposauridae;Theriosuchus;https://www.mindat.org/
Alligatorium;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157.3;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Kimmeridgian;152.1;extinct ;France;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Atoposauridae;Alligatorium;https://www.mindat.org/
Goniopholis_simus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Valanginian;139.8;extinct ;United Kingdom-Germany;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Goniopholididae;Goniopholis_simus;https://www.mindat.org/
Goniopholis_stovalli;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;155.7;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Goniopholididae;Goniopholis_stovalli;https://www.mindat.org/
Eutretauranosuchus;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157.3;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Goniopholididae;Eutretauranosuchus;https://www.mindat.org/
Calsoyasuchus;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Hettangian;199;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;183;extinct ;USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Goniopholididae;Calsoyasuchus;https://www.mindat.org/
Sunosuchus;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;174.1;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;China-Kyrgyzstan-Mongolia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Goniopholididae;Sunosuchus;https://www.mindat.org/
Bernissartia;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;155.7;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;93.9;extinct ;Belgium-Denmark-France-Spain-Tanzania-United Kingdom;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Bernissartia;https://www.mindat.org/
Shamosuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;China-Mongolia-Russia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Paralligatoridae ;Shamosuchus;https://www.mindat.org/
Rugosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;extinct ;China;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Paralligatoridae ;Rugosuchus;https://www.mindat.org/
Hylaeochampsa;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Barremian;130;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;122.46;extinct ;United Kingdom;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Hylaeochampsidae;Hylaeochampsa;https://www.mindat.org/
Borealosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Cenozoic;Paleogene;Eocene;Lutetian;46.2;extinct ;Canada-USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;-;Borealosuchus;https://www.mindat.org/
Pristichampsus_vorax;Phanerozoic;Cenozoic;Paleogene;Eocene;Ypresian;55.8;Phanerozoic;Cenozoic;Paleogene;Eocene;Bartonian;40.4;extinct ;USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;-;Pristichampsus;https://www.mindat.org/
Argochampsa;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;Phanerozoic;Cenozoic;Paleogene;Paleocene;Thanetian;56;extinct ;Morocco;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;-;Argochampsa;https://www.mindat.org/
Eothoracosaurus_mississippiensi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;-;Eothoracosaurus;https://www.mindat.org/
Gavialis;Phanerozoic;Cenozoic;Neogene;Miocene;Aquitanian;20.4;Phanerozoic;Cenozoic;Neogene;Holocene;Recent;0;living;Egypt-France-India-Indonesia-Iraq-Myanmar-Nepal-Pakistan-Thailand;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;-;Gavialis;https://www.mindat.org/
Asiatosuchus_germanicus;Phanerozoic;Cenozoic;Paleogene;Eocene;Lutetian;47.8;Phanerozoic;Cenozoic;Paleogene;Eocene;Lutetian;41.3;extinct ;Germany;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;-;Asiatosuchus;https://www.mindat.org/
Crocodylus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Cenozoic;Neogene;Holocene;Recent;0;living;China-Egypt-Germany-India-Kenya-Mali-Namibia-New Zealand-Tanzania-USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;Crocodylidae;Crocodylus;https://www.mindat.org/
Leidyosuchus_canadensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;70.6;extinct ;Canada;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;-;Leidyosuchus ;https://www.mindat.org/
Diplocynodon_hantoniensis;Phanerozoic;Cenozoic;Paleogene;Eocene;Bartonian;38;Phanerozoic;Cenozoic;Paleogene;Oligocene;Rupelian;33.9;extinct ;United Kingdom;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;Alligatoridae;Diplocynodon;https://www.mindat.org/
Alligator;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;Phanerozoic;Cenozoic;Neogene;Holocene;Recent;0;living;China-France-Germany-Japan-Taiwan-Thailand-United Kingdom-USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Crocodylia;Alligatoridae;Alligator;Sacado de entrada de wikipedia https://en.wikipedia.org/wiki/Alligator
Pelagosaurus;Phanerozoic;Mesozoic;Jurassic;Lower Jurassic;Toarcian;183;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;175.6;extinct ;France-Germany-Italy-United Kingdom;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Pelagosaurus;https://www.mindat.org/
Steneosaurus_bollensis;Phanerozoic;Mesozoic;Triassic;Upper Triassic;Rhaetian;201.3;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;174;extinct ;Germany-United Kingdom;marine ;actively mobile;carnivore ;hydroxyapatite;Animalia;Chordata;Reptilia;Crocodylia;-;Steneosaurus;https://www.christies.com/en/lot/lot-6024413
M._superciliousus;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Bathonian;166.1;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Tithonian;150.8;extinct ;France-United Kingdom;marine ;actively mobile;carnivore ;hydroxyapatite;Animalia;Chordata;Reptilia;Crocodylia;Metriorhynchidae;Metriorhynchus;"https://www.mindat.org/; se usa definición de Metriorhyncus"
M._casamequelai;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Aalenian;174.1;Mesozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;161.2;extinct ;Chile;marine ;actively mobile;carnivore ;hydroxyapatite;Animalia;Chordata;Reptilia;Crocodylia;Metriorhynchidae;Metriorhynchus;https://www.mindat.org/
C._araucaniensis;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Tithonian;150.8;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;Argentina;marine ;actively mobile;carnivore ;hydroxyapatite;Animalia;Chordata;Reptilia;Crocodylia;Metriorhynchidae;Cricosaurus;https://www.mindat.org/
C._suevicus;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;155.7;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Tithonian;150.8;extinct ;Germany;marine ;actively mobile;carnivore ;hydroxyapatite;Animalia;Chordata;Reptilia;Crocodylia;Metriorhynchidae;Cricosaurus;https://www.mindat.org/
D._maximus;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157.3;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;France-Germany-Switzerland-United Kingdom;marine ;actively mobile;carnivore ;hydroxyapatite;Animalia;Chordata;Reptilia;Crocodylia;Metriorhynchidae;Dakosaurus;"https://www.mindat.org/; dakosaurus"
D._andiniensis;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Kimmeridgian;152.1;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Valanginian;139.8;extinct ;Argentina;marine ;actively mobile;carnivore ;hydroxyapatite;Animalia;Chordata;Reptilia;Crocodylia;Metriorhynchidae;Dakosaurus;"https://www.mindat.org/; dakosaurus"
Pholidosaurus;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Tithonian;150.8;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;extinct ;France-Germany-Spain-United Kingdom;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Pholidosauridae;Pholidosaurus;https://www.mindat.org/
Sokotosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;70.6;Phanerozoic;Cenozoic;Paleogene;Eocene;Ypresian;55.8;extinct ;Nigeria-Mali;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Dyrosauridae;Sokotosuchus;https://www.mindat.org/
Hyposaurus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;70.6;Phanerozoic;Cenozoic;Paleogene;Eocene;Ypresian;55.8;extinct ;Brazil-Saudi Arabia-USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Dyrosauridae;Hyposaurus;https://www.mindat.org/
Rhabdognathus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Cenozoic;Paleogene;Eocene;Ypresian;55.8;extinct ;Mali-Nigeria-Saudi Arabia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Dyrosauridae;Rhabdognathus;https://www.mindat.org/
Dyrosaurus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;Phanerozoic;Cenozoic;Paleogene;Oligocene;Rupelian;33.9;extinct ;Argeria-Libya-Morroco-Niger-Tunisia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Dyrosauridae;Dyrosaurus;https://www.mindat.org/
Sarcosuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;extinct ;Argelia-Libya-Morroco-Niger-Tunisia;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Sarcosuchus;https://www.mindat.org/
Terminonaris;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;extinct ;Canada-Germany-USA;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Terminonaris;https://www.mindat.org/
