solution,n_orfs,shared_ref,pct_of_ref
S3,8,1,4.5
S4,20,1,4.5
S7,5,1,4.5
S8,14,1,4.5
S9,16,1,4.5
S1,1,0,0
S2,22,0,0
S5,12,0,0
S6,17,0,0
S10,3,0,0
S11,3,0,0
S12,13,0,0
S13,6,0,0
S14,7,0,0
