group,n_books,min_tokens,q1_tokens,median_tokens,q3_tokens,max_tokens,total_tokens
Comparison,63,9619,68163.5,102138,124623,253615,6585686
Papelucho,12,13685,16351.5,18629,21326.5,25456,227125
