book_id,group,title_es,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
CMP01,Comparison,Apocalipsis Z,0.1113790272932485,0.13554278678432177,0.10609480812641085,0.17371229222245024,0.06746357479991792,0.16114303303919558,0.07833983172583624,0.16632464600861893
CMP02,Comparison,Cell,0.09496385246906017,0.14128170567332435,0.0920843033941919,0.13987256463668668,0.099375076583752,0.15120695993138095,0.08074990809949761,0.20046562921210637
CMP03,Comparison,Conan,0.1411834120026972,0.11446392447741066,0.12171274443695211,0.19335805799055966,0.0696223870532704,0.1363789615643965,0.08268712070128119,0.14059339177343222
CMP04,Comparison,Amanecer,0.0993733545923097,0.1661166524528162,0.08379991842485818,0.13927101486892357,0.11524342763914124,0.13756535281248844,0.08598761541028589,0.17264266379917684
CMP05,Comparison,Crepúsculo,0.08199130128129775,0.17009521570471378,0.06700364405783472,0.12225226284236511,0.11954860702950512,0.14376395909251205,0.09468672857646644,0.20065828141530503
CMP06,Comparison,Eclipse,0.09900565746614091,0.1618378193039602,0.07457569003943082,0.13372192696725527,0.1119492542430996,0.14340819475398595,0.08846219783987656,0.18703925938625063
CMP07,Comparison,Luna nueva,0.0947533281127643,0.16361589663273296,0.07669342208300706,0.13268402505873142,0.10694009397024277,0.1529463586530932,0.08775450274079875,0.1846123727486296
CMP08,Comparison,Sol de medianoche,0.09248509570128648,0.1724192030122372,0.0725604016316285,0.13515845622842798,0.12127392532161907,0.1397866331973643,0.08856291182930656,0.1777533730781299
CMP09,Comparison,El exilio,0.1448222930688393,0.129944503483292,0.08407131892785454,0.20746251033179833,0.07096469476915811,0.13874129176998465,0.07007911205573267,0.15391427559334042
CMP10,Comparison,El refugio,0.1308715416128851,0.1382232448510017,0.09579662158370278,0.1975419496043549,0.07929737920197542,0.12649419159324315,0.0760424266232673,0.15573264492956954
CMP11,Comparison,La morada,0.15101033472157951,0.13491696231168698,0.0837061031415497,0.18767031723996094,0.07835878451334259,0.12478790683325622,0.08648259550619569,0.1530669957324284
CMP12,Comparison,El ocho,0.09347840963525628,0.17337302401970847,0.07845753780880038,0.13183466776158215,0.09731061383699446,0.13638541025114623,0.09279408745637446,0.19636624923013754
