k,delta_series_recovery,tfidf_series_recovery,delta_author_recovery,tfidf_author_recovery
5,0.7410071942446043,1,0.8406374501992032,0.9840637450199203
10,0.5179856115107914,1,0.5378486055776892,0.9681274900398407
15,0.5107913669064749,1,0.5338645418326693,0.9641434262948207
