metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note,label_en,label_es
mean_sentiment,12,63,0.01409661866761438,0.0231593659413089,0.01203984517270749,0.02406471019284561,-0.00906274727369452,0.0485325814274011,-0.3624338624338624,-0.6296296296296297,-0.06342592592592629,medium,-0.3624338624338624,Comparison,0.1455977442822033,FALSE,"notable effect, not significant after correction",Mean sentiment,Sentimiento medio
median_sentiment,12,63,0.01419619687842234,0.02586995209571626,0.01404355969186993,0.0247411213102063,-0.01167375521729391,0.051923010211502973,-0.35714285714285715,-0.6322751322751323,-0.04226190476190512,medium,-0.3571428571428571,Comparison,0.1455977442822033,FALSE,"notable effect, not significant after correction",median_sentiment,median_sentiment
sd_sentiment,12,63,0.04508877066506377,0.0322487070417567,0.04411017874688767,0.03225784250961852,0.01284006362330706,5.984624024833527e-4,0.6296296296296297,0.33855820105820117,0.8650793650793651,large,0.6296296296296295,Papelucho,0.00299231201241676,TRUE,,Sentiment variability,Variabilidad del sentimiento
sentiment_range,12,63,0.1771449472513549,0.12221868048423404,0.1761778447093752,0.12232254452973362,0.05492626676712089,3.882788285564187e-4,0.6507936507936508,0.3835317460317461,0.8730820105820102,large,0.6507936507936507,Papelucho,0.00232967297133851,TRUE,,Sentiment range,Rango del sentimiento
pct_negative_chunks,12,63,37.5,20,39.583333333333336,24.682539682539684,17.5,0.00791615680519572,0.48544973544973546,0.24735449735449735,0.6957671957671958,large,0.48544973544973535,Papelucho,0.03166462722078288,TRUE,,pct_negative_chunks,pct_negative_chunks
pct_negative_sentences,12,63,22.823321687516437,20.82506379359229,23.22184408881322,22.519468978071007,1.998257893924148,0.30827218314028826,0.18783068783068785,-0.06349206349206349,0.4417989417989418,small,0.1878306878306879,Papelucho,0.30827218314028826,FALSE,,pct_negative_sentences,pct_negative_sentences
