metric,n_focus,n_comparison,median_focus,median_comparison,mean_focus,mean_comparison,difference,p_value,cliffs_delta,delta_lower,delta_upper,delta_magnitude,rank_biserial,higher_in,p_adjusted,significant,note
emotion_density,12,63,136.99006179906286,143.55705333820563,137.9137055770617,148.59089811033385,-6.5669915391427764,0.04086133136719657,-0.37566137566137564,-0.6455026455026455,-0.0873015873015873,medium,-0.3756613756613757,Comparison,0.07387024607556325,FALSE,"notable effect, not significant after correction"
valence_ratio,12,63,1.014574898785425,1.1141335362373976,1.0058005297272892,1.1274362916113931,-0.09955863745197258,0.03186522666019818,-0.3941798941798942,-0.674669312169312,-0.06871693121693158,medium,-0.3941798941798942,Comparison,0.07387024607556325,FALSE,"notable effect, not significant after correction"
valence_balance,12,63,0.5193178862690324,4.455572422766792,-0.07071667143541897,4.29741557448307,-3.93625453649776,0.024623415358521084,-0.4126984126984127,-0.6798941798941799,-0.10317460317460317,medium,-0.4126984126984127,Comparison,0.07387024607556325,FALSE,"notable effect, not significant after correction"
