book_id,group,title_es,author,mean_sentiment,median_sentiment,sd_sentiment,min_sentiment,max_sentiment,sentiment_range,pct_negative_chunks,n_chunks,n_sentences,pct_negative_sentences,pct_neutral_sentences
CMP01,Comparison,Apocalipsis Z,Manel Loureiro,-0.009312286254255845,-0.00795765757746047,0.03518412108185877,-0.1104756939766603,0.03235715359545598,0.14283284757211628,60,20,7986,27.560731279739542,45.89281242173804
CMP02,Comparison,Cell,Stephen King,0.03582944282009753,0.0269003741831472,0.02984096248152811,-0.004080377398540889,0.09844563255626117,0.10252600995480206,5,20,8683,20.07370724404008,51.491420016123456
CMP03,Comparison,Conan,Robert E. Howard,-0.022812874623799547,-0.013735982799592285,0.04307234336481838,-0.10042278519358223,0.06258920868664665,0.16301199388022888,75,20,3981,32.02712886209495,40.291384074353175
CMP04,Comparison,Amanecer,Stephenie Meyer,0.035243785848519525,0.032720812837835525,0.023444937430508562,0.0025897659413179398,0.08877704777498312,0.08618728183366518,0,20,16393,18.520100042701156,54.81608003416092
CMP05,Comparison,Crepúsculo,Stephenie Meyer,0.049161817613554606,0.04931428929350181,0.02291678932813587,0.006231213444993624,0.09446394994590268,0.08823273650090906,0,20,10700,17.700934579439252,53
CMP06,Comparison,Eclipse,Stephenie Meyer,0.043329495414243815,0.043549776489045615,0.014031848616445363,0.022350020170177284,0.06706648435361086,0.04471646418343357,0,20,14085,18.494852680156196,53.319133830315934
CMP07,Comparison,Luna nueva,Stephenie Meyer,0.035012467751038306,0.030576721117412973,0.01769347070260043,0.008146336342307178,0.076978614268121,0.06883227792581383,0,20,12236,19.810395554102648,52.214776070611315
CMP08,Comparison,Sol de medianoche,Stephenie Meyer,0.03058738511978928,0.025869952095716263,0.023526983874616426,-0.009724208720183132,0.09260412436839613,0.10232833308857926,5,20,6744,20.61091340450771,50.93416370106761
CMP09,Comparison,El exilio,R. A. Salvatore,0.0016877411962982175,0.010693485074425163,0.04619215638624872,-0.07465320068752812,0.07248617309666863,0.14713937378419675,45,20,6169,29.95623277678716,39.82817312368293
CMP10,Comparison,El refugio,R. A. Salvatore,-0.0049493269090760475,-8.56253191767298e-4,0.040312396663150875,-0.08775036584285986,0.06761937738614199,0.15536974322900185,50,20,6389,29.488182814211928,42.087963687588044
CMP11,Comparison,La morada,R. A. Salvatore,0.03223701927122658,0.04040078213185544,0.0399562501491068,-0.04562408178244422,0.09487973427752489,0.1405038160599691,25,20,6854,27.26874817624745,38.44470382258535
CMP12,Comparison,El ocho,Katherine Neville,0.030443853789412244,0.029756598451222423,0.016364715804027177,-0.006702862899405602,0.06899437813708362,0.07569724103648921,5,20,16101,20.06707657909447,51.88497608844172
CMP13,Comparison,El perfume,Patrick Süskind,0.04676555796144998,0.04558595848226454,0.0357995872946558,-0.03529831382776933,0.1216977511165236,0.15699606494429294,10,20,3391,24.80094367443232,38.366263639044526
CMP14,Comparison,El caso Bourne,Robert Ludlum,0.027597224703885904,0.026702621672491295,0.02321919171956547,-0.021204975543830863,0.06552581573497533,0.0867307912788062,15,20,17758,17.97499718436761,57.951345872282914
CMP15,Comparison,El extraño caso de Benjamin Button,F. Scott Fitzgerald,0.07288222021339255,0.06082501106716995,0.053384648607107295,0.01087293542409626,0.21168234400053978,0.20080940857644353,0,20,636,18.867924528301888,44.0251572327044
CMP16,Comparison,Cerco de oscuridad,R. A. Salvatore,0.018325114525753652,0.017224032649611306,0.03660314801478239,-0.05047106661339413,0.09086078012032375,0.14133184673371788,30,20,5732,29.501046755059317,36.98534542916958
CMP17,Comparison,El legado,R. A. Salvatore,-0.030621760775115626,-0.03474635872809938,0.05384184559500808,-0.12951115413715775,0.07943344066516342,0.20894459480232117,70,20,5047,34.31741628690311,38.55755894590846
CMP18,Comparison,Luz en las tinieblas,R. A. Salvatore,0.018453078648653937,0.028400791965620807,0.04508993417741882,-0.07580881095832828,0.09312562378438115,0.16893443474270942,30,20,6632,26.130880579010856,42.3854041013269
CMP19,Comparison,Noche sin estrellas,R. A. Salvatore,0.01902270330130027,0.030367725219961075,0.042654993971226615,-0.0639480148408383,0.10441636122421297,0.16836437606505128,30,20,5692,28.70695713281799,38.54532677442024
CMP20,Comparison,La gema del halfling,R. A. Salvatore,0.012256529954866636,0.014142784734226914,0.05216415468831038,-0.08498123261170508,0.09501060471383506,0.17999183732554014,45,20,7012,26.65430690245294,43.7250427837992
CMP21,Comparison,La piedra de cristal,R. A. Salvatore,0.015181467016425223,0.021073385969001948,0.05051089596559879,-0.12290624706863884,0.10353932682931533,0.22644557389795417,30,20,6034,29.416639045409347,37.288697381504804
CMP22,Comparison,Ríos de plata,R. A. Salvatore,0.008312035790240103,0.016674893034291705,0.05324973989433567,-0.09806953678503177,0.07918613472176132,0.1772556715067931,35,20,6675,28.194756554307116,41.243445692883896
CMP23,Comparison,Finis Mundi,Laura Gallego García,0.0489424889138487,0.045637703576154785,0.036439112413580846,-0.025419293962494843,0.1335370872879727,0.15895638125046754,5,20,5357,16.68844502520067,55.23613963039015
CMP24,Comparison,Guerra Mundial Z,Max Brooks,0.027874535659638437,0.02846858301029838,0.020007344690905742,-5.149377731027636e-4,0.07329640491502629,0.07381134268812906,5,20,7938,24.250440917107582,45.439657344419246
CMP25,Comparison,Harry Potter y el cáliz de fuego,J. K. Rowling,0.027054493384412088,0.029179342339985474,0.019536213299594568,-0.021643079110196695,0.05799928278509105,0.07964236189528774,10,20,14108,20.82506379359229,50.92855117663737
CMP26,Comparison,Harry Potter y el misterio del príncipe,J. K. Rowling,0.04982267652706569,0.05174299739597765,0.025145513942730093,0.0027550388173512345,0.08835757613763093,0.0856025373202797,0,20,11755,19.60867715865589,49.06848149723522
CMP27,Comparison,Harry Potter y el prisionero de Azkaban,J. K. Rowling,0.028177188029644827,0.02860037470372096,0.029179577307223228,-0.015619675480987558,0.09211914810575028,0.10773882358673784,20,20,9321,18.302757214891106,56.174230232807645
CMP28,Comparison,Harry Potter y la cámara secreta,J. K. Rowling,0.014364033158761004,0.014033083247436778,0.024769972041002727,-0.024035252733258742,0.055959556829507665,0.0799948095627664,35,20,6620,21.858006042296072,51.81268882175226
CMP29,Comparison,Harry Potter y la orden del fénix,J. K. Rowling,0.023159365941308904,0.022301027138303075,0.02021330152055966,-0.019801968774462685,0.048156249192884616,0.0679582179673473,10,20,16063,21.440577725206996,50.806200585195796
CMP30,Comparison,Harry Potter y la piedra filosofal,J. K. Rowling,0.021839500884194687,0.023503109338134383,0.02663272995069554,-0.027579464569570066,0.06852306339144519,0.09610252796101526,25,20,6471,19.749652294853963,54.674702518930616
CMP31,Comparison,Harry Potter y las reliquias de la muerte,J. K. Rowling,0.012966967848926833,0.011645906160538365,0.026474938208017364,-0.03661279004937894,0.0592888958729113,0.09590168592229023,35,20,12288,22.900390625,50.2197265625
CMP32,Comparison,Historias fantásticas,Stephen King,0.014206635580842515,0.01896476265508138,0.02530379613315055,-0.039220608268934615,0.04778726455341691,0.08700787282235153,30,20,4175,20.958083832335326,54.37125748502994
CMP33,Comparison,La expedición,Stephen King,0.031498989985445064,0.046140421912710304,0.03623252889355984,-0.037718252914570594,0.07520132996296969,0.11291958287754028,25,20,3671,21.983110868973032,49.33260691909561
CMP34,Comparison,La historia interminable,Michael Ende,0.045499463669407186,0.04523065164044138,0.032248707041756704,-0.003175415890549736,0.11294396205681397,0.1161193779473637,10,20,9105,17.814387699066447,53.113673805601316
CMP35,Comparison,La emperatriz de los Etéreos,Laura Gallego García,0.03440327180968167,0.0312781029405608,0.02308688536889587,-0.007676624582585509,0.07526811736794482,0.08294474195053034,5,20,5311,18.000376576915837,56.05347392204858
CMP36,Comparison,La torre oscura: el pistolero,Stephen King,-0.00487900504789962,-0.005731138827471602,0.02695577076295375,-0.07424496699634614,0.06260374518802843,0.13684871218437455,55.00000000000001,20,4935,24.275582573454916,53.17122593718339
CMP37,Comparison,Las dos espadas,R. A. Salvatore,0.004728062755812084,0.0035376532149493612,0.024909527928156056,-0.038507786078747976,0.0559533248700604,0.09446111094880838,40,20,7131,26.854578600476792,44.28551395316225
CMP38,Comparison,Los senderos de la muerte,R. A. Salvatore,-0.0049432514817959365,-0.003900415257836676,0.032384848155195184,-0.09060184412439388,0.044005154710437866,0.13460699883483174,60,20,8389,28.966503754917156,43.39015377279771
CMP39,Comparison,El alquimista,Paulo Coelho,0.07690161817338136,0.07087003763063382,0.030027201690574438,0.031017689489544815,0.14431267608550707,0.11329498659596227,0,20,2825,17.5929203539823,45.84070796460177
CMP40,Comparison,El ladrón del rayo,Rick Riordan,0.01740164816403815,0.022047445881818124,0.02476863886830545,-0.05127345448140641,0.057085269186150076,0.10835872366755649,15,20,8776,19.15451230628988,57.77119416590701
CMP41,Comparison,El mar de los monstruos,Rick Riordan,0.016777867882666594,0.01801088881088747,0.03702167285025982,-0.06763710969404811,0.10626962215563893,0.17390673184968702,20,20,6339,19.545669663984853,56.712415207445964
CMP42,Comparison,La batalla del laberinto,Rick Riordan,0.01212029505489286,0.010782183073496477,0.01988174604472888,-0.01831273463075136,0.05368142636051742,0.07199416099126878,30,20,9557,19.116877681280737,58.75274667782777
CMP43,Comparison,La maldición del titán,Rick Riordan,0.017770347739407655,0.01869137078069144,0.026048310734676908,-0.0380385909787978,0.061213162420964175,0.09925175339976197,20,20,8101,17.948401431921983,60.30119738303913
CMP44,Comparison,Peter Pan,J. M. Barrie,0.03796227100893999,0.041879206475929215,0.03851171569297641,-0.024759148190595107,0.09773096397369133,0.12249011216428643,20,20,3111,20.70073931211829,49.53391192542591
CMP45,Comparison,Hora cero,S. D. Perry,-0.012139130441258555,-0.015922840380118857,0.037304236409508494,-0.10697976420166101,0.048738033223105055,0.15571779742476607,65,20,4196,28.88465204957102,45.972354623450904
