UMAP1,UMAP2,display,book_id,group,author,series
-0.1819093871116637,-3.7606815481185913,Papelucho_07,PAP07,Papelucho,Marcela Paz,Papelucho
-0.4865337061882018,-3.099034526348114,Papelucho_08,PAP08,Papelucho,Marcela Paz,Papelucho
-0.3202920603752135,-3.5667868638038636,Papelucho_09,PAP09,Papelucho,Marcela Paz,Papelucho
-0.19526178121566762,-3.515593626499176,Papelucho_10,PAP10,Papelucho,Marcela Paz,Papelucho
-0.0595019507408141,-3.112317063808441,Papelucho_11,PAP11,Papelucho,Marcela Paz,Papelucho
0.10967534303665172,-3.3170517468452454,Papelucho_12,PAP12,Papelucho,Marcela Paz,Papelucho
-1.009206597805023,0.04643966913223263,Peter Pan,CMP44,Comparison,J. M. Barrie,
2.357368643283844,1.7177434182167053,Ríos de plata,CMP22,Comparison,R. A. Salvatore,El valle del viento helado
-1.6249857592582702,-0.6413650298118592,Sangre de capitán,CMP61,Comparison,Justin Somper,Vampiratas
-1.6071715998649596,1.7832689499855041,Sol de medianoche,CMP08,Comparison,Stephenie Meyer,Crepúsculo
-0.38278466939926137,-0.046567895412445104,Stardust,CMP56,Comparison,Neil Gaiman,
-1.4129427123069762,-0.12187717199325565,Una ola de terror,CMP62,Comparison,Justin Somper,Vampiratas
0.9512125802040101,0.6360416626930236,Viaje al centro de la Tierra,CMP63,Comparison,Jules Verne,
