design,metric,n_focus,n_comparison,median_focus,median_comparison,cliffs_delta,delta_lower,delta_upper,delta_magnitude,p_adjusted,significant,higher_in
audience-matched,words_per_sentence,12,30,13.218579593622666,11.556030970163844,0.49444444444444446,0.19430555555555581,0.7555555555555555,large,0.12364140559523198,FALSE,Papelucho
audience-matched,letters_per_word,12,30,4.2073459258015244,4.595387092146151,-1,-1,-1,large,1.9726860395089014e-5,TRUE,Comparison
audience-matched,syllables_per_word,12,30,1.8473830638965678,1.9766206353392555,-1,-1,-1,large,1.9726860395089014e-5,TRUE,Comparison
audience-matched,Fernandez_Huerta,12,30,82.37520094178493,75.93884153252799,0.95,0.8444444444444444,1,large,5.364869866099504e-5,TRUE,Papelucho
audience-matched,Szigriszt_Pazos,12,30,78.34511887366347,71.58897763326894,0.9555555555555556,0.8609722222222225,1,large,4.853184637537357e-5,TRUE,Papelucho
audience-matched,Gutierrez_Polini,12,30,49.76224166195729,46.574288878905186,1,1,1,large,1.9726860395089014e-5,TRUE,Papelucho
audience-matched,Mu_index,12,30,70.26037881954466,66.76564528531726,0.7166666666666667,0.4388888888888889,0.9222222222222223,large,0.006585085487430058,TRUE,Papelucho
audience-matched,CCONJ,12,30,0.06639639589150406,0.03809136643588508,1,1,1,large,1.9726860395089014e-5,TRUE,Papelucho
audience-matched,SCONJ,12,30,0.04454467183498395,0.03595717107086982,0.7777777777777778,0.5444444444444444,0.95,large,0.002055028217361106,TRUE,Papelucho
audience-matched,PRON,12,30,0.11201240332943316,0.09239635178716171,0.9222222222222223,0.7944444444444444,1,large,1.0168854234201611e-4,TRUE,Papelucho
audience-matched,VERB,12,30,0.1684669847001039,0.1618949569109076,0.5888888888888889,0.2611111111111111,0.8555555555555555,large,0.039721980438846734,TRUE,Papelucho
audience-matched,NOUN,12,30,0.1725376954962821,0.1659880842121806,0.06111111111111111,-0.3223611111111109,0.45555555555555555,negligible,1,FALSE,Papelucho
audience-matched,ADJ,12,30,0.046350625337377924,0.05190518752469693,-0.7,-0.9666666666666667,-0.3388888888888889,large,0.008558437377447027,TRUE,Comparison
audience-matched,ADV,12,30,0.06069050162006143,0.06645973708599062,-0.6777777777777778,-0.8833333333333333,-0.4222222222222222,large,0.011478477583105344,TRUE,Comparison
audience-matched,DET,12,30,0.1311450334258501,0.13374361611818017,-0.26666666666666666,-0.6388888888888888,0.14444444444444443,small,1,FALSE,Comparison
audience-matched,ADP,12,30,0.12413153346505296,0.1374295623734352,-0.9722222222222222,-1,-0.9111111111111111,large,3.430389898915207e-5,TRUE,Comparison
audience-matched,PROPN,12,30,0.028093500241919953,0.05270941132201307,-0.7944444444444444,-0.9833333333333333,-0.5387500000000007,large,0.0015668836129029025,TRUE,Comparison
audience-matched,lexical_density,12,30,0.47871970725868296,0.5086981175987946,-0.9888888888888889,-1,-0.95,large,2.319653392950053e-5,TRUE,Comparison
audience-matched,mean_sentiment,12,30,0.014096618667614384,0.029070698831185807,-0.6222222222222222,-0.8722222222222222,-0.3165277777777786,large,0.02478509797740259,TRUE,Comparison
audience-matched,sd_sentiment,12,30,0.04508877066506377,0.026017608724011994,0.8277777777777777,0.5722222222222222,1,large,8.534434416840756e-4,TRUE,Papelucho
audience-matched,sentiment_range,12,30,0.17714494725135493,0.10079004324417062,0.8055555555555556,0.55,0.9777777777777777,large,0.0013204209978503073,TRUE,Papelucho
audience-matched,pct_negative_chunks,12,30,37.5,12.5,0.7888888888888889,0.5694444444444444,0.9416666666666667,large,0.0015668836129029025,TRUE,Papelucho
audience-matched,joy,12,30,13.311128870376965,13.309145696090951,-0.14444444444444443,-0.49444444444444446,0.21680555555555478,negligible,1,FALSE,Papelucho
audience-matched,fear,12,30,23.106396196264825,19.091741814656757,0.6833333333333333,0.38333333333333336,0.9333333333333333,large,0.011016104047840803,TRUE,Papelucho
audience-matched,sadness,12,30,20.795905835275857,19.769508196347118,0.05,-0.4666666666666667,0.55,negligible,1,FALSE,Papelucho
