"id_libro","cluster_arco","nivel","etapa"
"L0312",1,11,"Media"
"L0313",2,11,"Media"
"L0316",2,11,"Media"
"L0317",5,11,"Media"
"L0318",2,11,"Media"
"L0319",5,11,"Media"
"L0320",4,11,"Media"
"L0321",1,11,"Media"
"L0323",2,11,"Media"
"L0324",4,11,"Media"
"L0325",3,11,"Media"
"L0326",1,11,"Media"
"L0327",2,11,"Media"
"L0328",3,11,"Media"
"L0329",4,11,"Media"
"L0330",4,11,"Media"
"L0331",5,11,"Media"
"L0332",3,11,"Media"
"L0333",1,11,"Media"
"L0334",5,11,"Media"
"L0335",5,11,"Media"
"L0337",5,11,"Media"
"L0338",3,11,"Media"
"L0339",4,11,"Media"
"L0341",2,11,"Media"
"L0342",2,12,"Media"
"L0343",4,11,"Media"
"L0344",4,12,"Media"
"L0345",1,11,"Media"
"L0346",1,12,"Media"
"L0347",5,11,"Media"
"L0348",5,12,"Media"
"L0349",3,11,"Media"
"L0350",3,12,"Media"
"L0353",3,11,"Media"
"L0354",3,12,"Media"
"L0355",1,11,"Media"
"L0356",1,12,"Media"
"L0357",1,11,"Media"
"L0358",1,12,"Media"
"L0359",2,4,"Basica inicial"
"L0360",3,4,"Basica inicial"
"L0361",5,4,"Basica inicial"
"L0362",1,4,"Basica inicial"
"L0366",3,4,"Basica inicial"
"L0368",1,4,"Basica inicial"
"L0371",5,4,"Basica inicial"
"L0372",2,4,"Basica inicial"
"L0373",2,4,"Basica inicial"
"L0375",3,4,"Basica inicial"
"L0378",3,4,"Basica inicial"
"L0379",4,4,"Basica inicial"
"L0380",4,4,"Basica inicial"
"L0381",2,4,"Basica inicial"
"L0383",1,4,"Basica inicial"
"L0384",1,4,"Basica inicial"
"L0385",5,4,"Basica inicial"
"L0387",2,4,"Basica inicial"
"L0388",5,4,"Basica inicial"
"L0389",1,4,"Basica inicial"
"L0390",5,4,"Basica inicial"
"L0391",4,4,"Basica inicial"
"L0392",1,4,"Basica inicial"
"L0394",4,4,"Basica inicial"
"L0397",2,4,"Basica inicial"
"L0398",1,4,"Basica inicial"
"L0401",4,4,"Basica inicial"
"L0403",1,4,"Basica inicial"
"L0404",1,6,"Basica superior"
"L0405",1,7,"Basica superior"
"L0406",1,12,"Media"
"L0407",3,12,"Media"
"L0408",4,12,"Media"
"L0409",4,12,"Media"
"L0410",2,12,"Media"
"L0411",5,12,"Media"
"L0412",1,12,"Media"
"L0413",5,12,"Media"
"L0414",2,12,"Media"
"L0415",2,12,"Media"
"L0416",3,12,"Media"
"L0417",3,12,"Media"
"L0418",3,12,"Media"
"L0419",3,12,"Media"
"L0420",4,12,"Media"
"L0421",3,12,"Media"
"L0422",3,12,"Media"
"L0423",1,12,"Media"
"L0424",1,12,"Media"
"L0425",1,12,"Media"
"L0426",3,12,"Media"
"L0428",5,12,"Media"
"L0429",2,12,"Media"
"L0430",5,12,"Media"
"L0432",5,12,"Media"
"L0433",5,12,"Media"
"L0434",2,12,"Media"
"L0435",5,12,"Media"
"L0436",3,12,"Media"
"L0437",5,12,"Media"
"L0438",4,12,"Media"
"L0439",4,12,"Media"
"L0440",4,12,"Media"
"L0441",5,12,"Media"
"L0442",4,12,"Media"
"L0443",1,12,"Media"
"L0444",2,12,"Media"
"L0445",3,12,"Media"
"L0447",4,12,"Media"
"L0448",5,12,"Media"
"L0449",4,12,"Media"
"L0450",4,12,"Media"
"L0451",5,12,"Media"
"L0452",4,12,"Media"
"L0453",5,12,"Media"
"L0454",4,12,"Media"
"L0455",2,12,"Media"
"L0456",5,12,"Media"
"L0457",4,12,"Media"
"L0458",3,12,"Media"
"L0459",5,12,"Media"
"L0461",4,12,"Media"
"L0462",3,12,"Media"
"L0463",1,12,"Media"
"L0464",5,12,"Media"
"L0465",4,12,"Media"
"L0466",5,12,"Media"
"L0467",2,12,"Media"
"L0468",4,12,"Media"
"L0469",2,5,"Basica superior"
"L0470",2,5,"Basica superior"
"L0473",1,5,"Basica superior"
"L0476",4,5,"Basica superior"
"L0480",5,5,"Basica superior"
"L0481",4,5,"Basica superior"
"L0482",5,5,"Basica superior"
"L0483",3,5,"Basica superior"
"L0485",4,5,"Basica superior"
"L0486",1,5,"Basica superior"
"L0487",5,5,"Basica superior"
"L0488",2,5,"Basica superior"
"L0489",3,5,"Basica superior"
"L0490",1,5,"Basica superior"
"L0492",2,5,"Basica superior"
"L0493",1,5,"Basica superior"
"L0494",5,5,"Basica superior"
"L0495",2,5,"Basica superior"
"L0499",1,5,"Basica superior"
"L0500",4,5,"Basica superior"
"L0501",2,5,"Basica superior"
"L0502",2,7,"Basica superior"
"L0504",2,6,"Basica superior"
"L0505",5,6,"Basica superior"
"L0506",1,6,"Basica superior"
"L0507",2,6,"Basica superior"
"L0509",2,6,"Basica superior"
"L0511",1,6,"Basica superior"
"L0512",3,6,"Basica superior"
"L0514",4,6,"Basica superior"
"L0515",1,6,"Basica superior"
"L0516",3,6,"Basica superior"
"L0517",1,6,"Basica superior"
"L0518",2,6,"Basica superior"
"L0519",3,6,"Basica superior"
"L0522",5,6,"Basica superior"
"L0523",1,6,"Basica superior"
"L0524",2,6,"Basica superior"
"L0525",1,6,"Basica superior"
"L0529",5,6,"Basica superior"
"L0530",3,6,"Basica superior"
"L0531",3,6,"Basica superior"
"L0532",3,6,"Basica superior"
"L0535",2,6,"Basica superior"
"L0536",3,6,"Basica superior"
"L0537",4,6,"Basica superior"
"L0538",5,6,"Basica superior"
"L0540",1,6,"Basica superior"
"L0541",1,6,"Basica superior"
"L0543",5,6,"Basica superior"
"L0544",5,6,"Basica superior"
"L0545",1,6,"Basica superior"
"L0546",2,6,"Basica superior"
"L0547",1,6,"Basica superior"
"L0548",2,6,"Basica superior"
"L0549",4,6,"Basica superior"
"L0550",4,6,"Basica superior"
"L0551",2,6,"Basica superior"
"L0553",1,6,"Basica superior"
"L0554",2,6,"Basica superior"
"L0555",2,6,"Basica superior"
"L0556",2,6,"Basica superior"
"L0557",3,6,"Basica superior"
"L0558",1,6,"Basica superior"
"L0559",4,6,"Basica superior"
"L0560",2,6,"Basica superior"
"L0561",2,6,"Basica superior"
"L0564",4,6,"Basica superior"
"L0565",4,8,"Basica superior"
"L0566",5,6,"Basica superior"
"L0567",5,8,"Basica superior"
"L0568",1,7,"Basica superior"
"L0569",3,7,"Basica superior"
"L0571",4,7,"Basica superior"
"L0572",2,7,"Basica superior"
"L0574",4,7,"Basica superior"
"L0576",4,7,"Basica superior"
