"doc_id","prop_ADJ","prop_ADP","prop_ADV","prop_AUX","prop_CCONJ","prop_DET","prop_NOUN","prop_NUM","prop_PRON","prop_PROPN","prop_SCONJ","prop_VERB","n_palabras_anot","razon_sust_verbo","nominalizaciones_x1000","dist_dependencia_media","profundidad_arbol_media","subordinadas_por_oracion"
"L0002",0.0511753183153771,0.139079333986288,0.0548481880509305,0.0279138099902057,0.0472575905974535,0.167238001958864,0.205925563173359,0.00587659157688541,0.071743388834476,0.0345249755142018,0.0320763956904995,0.162340842311459,4092,1.2684766214178,3.66568914956012,2.58620689655172,4.59044368600683,1.01706484641638
"L0005",0.0361111111111111,0.136111111111111,0.05,0.00833333333333333,0.0888888888888889,0.152777777777778,0.177777777777778,0.00555555555555556,0.0916666666666667,0.0666666666666667,0.0305555555555556,0.155555555555556,360,1.14285714285714,5.55555555555556,2.48809523809524,5,0.75
"L0006",0.0380952380952381,0.104761904761905,0.0761904761904762,0.0571428571428571,0.0666666666666667,0.161904761904762,0.176190476190476,0,0.0761904761904762,0.0285714285714286,0.0238095238095238,0.19047619047619,210,0.925,4.76190476190476,1.99453551912568,3.62962962962963,0.444444444444444
"L0008",0.0521042084168337,0.108216432865731,0.0661322645290581,0.0180360721442886,0.0420841683366733,0.192384769539078,0.216432865731463,0,0.0921843687374749,0.00601202404809619,0.0160320641282565,0.190380761523046,500,1.13684210526316,0,2.14446952595937,3.92982456140351,0.508771929824561
"L0009",0.0411347517730496,0.0765957446808511,0.0780141843971631,0.0382978723404255,0.0553191489361702,0.141843971631206,0.187234042553191,0.00141843971631206,0.100709219858156,0.0737588652482269,0.025531914893617,0.180141843971631,708,1.03937007874016,2.82485875706215,2.25822368421053,3.2952380952381,0.4
"L0011",0.0680272108843537,0.122448979591837,0.0748299319727891,0.0340136054421769,0.0408163265306122,0.149659863945578,0.163265306122449,0.00680272108843537,0.122448979591837,0,0.054421768707483,0.163265306122449,149,1,6.71140939597315,2.78723404255319,4.875,2
"L0012",0.0365335598980459,0.119796091758709,0.0492778249787596,0.0263381478334749,0.0501274426508071,0.169073916737468,0.203908241291419,0.00509770603228547,0.0679694137638063,0.0951571792693288,0.0254885301614274,0.151231945624469,1186,1.34831460674157,5.05902192242833,2.23404255319149,3.58552631578947,0.368421052631579
"L0013",0.050682261208577,0.132553606237817,0.037037037037037,0.0185185185185185,0.0428849902534113,0.128654970760234,0.158869395711501,0.0331384015594542,0.0692007797270955,0.192982456140351,0.0311890838206628,0.104288499025341,1057,1.52336448598131,7.5685903500473,2.40721649484536,4.08163265306122,0.714285714285714
"L0014",0.0104166666666667,0.114583333333333,0.046875,0.0208333333333333,0.0520833333333333,0.1875,0.21875,0,0.078125,0.03125,0.046875,0.192708333333333,192,1.13513513513514,5.20833333333333,2.33139534883721,3.85,0.95
"L0018",0.0491620111731844,0.113966480446927,0.0581005586592179,0.0245810055865922,0.0525139664804469,0.154189944134078,0.215642458100559,0.00446927374301676,0.0871508379888268,0.0346368715083799,0.0368715083798883,0.168715083798883,903,1.27814569536424,0,2.2948402948403,3.81052631578947,0.631578947368421
"L0023",0.0105448154657293,0.184534270650264,0.0070298769771529,0.00175746924428822,0.472759226713532,0.0123022847100176,0.0755711775043937,0.00527240773286467,0.015817223198594,0.0597539543057996,0,0.154657293497364,951,0.488636363636364,4.20609884332282,3.17152103559871,9.375,0.666666666666667
"L0024",0.0430622009569378,0.107655502392345,0.0430622009569378,0.0215311004784689,0.0717703349282297,0.162679425837321,0.215311004784689,0.00478468899521531,0.0956937799043062,0.0550239234449761,0.0263157894736842,0.15311004784689,419,1.40625,4.77326968973747,2.72916666666667,4.25714285714286,0.6
"L0026",0.0520710059171598,0.146745562130178,0.0686390532544379,0.029585798816568,0.0461538461538462,0.155029585798817,0.189349112426035,0.00236686390532544,0.0840236686390533,0.029585798816568,0.0331360946745562,0.163313609467456,850,1.15942028985507,4.70588235294118,2.47820672478207,5.34042553191489,1.51063829787234
"L0027",0.0437956204379562,0.0583941605839416,0.0510948905109489,0.0218978102189781,0.0583941605839416,0.131386861313869,0.240875912408759,0.0072992700729927,0.0218978102189781,0.182481751824818,0.0364963503649635,0.145985401459854,143,1.65,0,1.89189189189189,2.86486486486486,0.108108108108108
"L0028",0.054251012145749,0.14331983805668,0.0526315789473684,0.0226720647773279,0.0421052631578947,0.166801619433198,0.204858299595142,0.00323886639676113,0.0680161943319838,0.0307692307692308,0.0348178137651822,0.176518218623482,1238,1.1605504587156,3.23101777059774,2.44812554489974,4.50549450549451,1.13186813186813
"L0030",0.0592105263157895,0.129385964912281,0.0679824561403509,0.0175438596491228,0.0745614035087719,0.162280701754386,0.214912280701754,0,0.0855263157894737,0.0131578947368421,0.0263157894736842,0.149122807017544,457,1.44117647058824,2.18818380743982,2.65509259259259,5.76,1.52
"L0031",0.0402429764616553,0.12452543659833,0.082004555808656,0.0288534548215642,0.0637813211845103,0.141989369779803,0.176157934700076,0.00379650721336371,0.100227790432802,0.0129081245254366,0.0447987851176917,0.180713743356112,1324,0.974789915966387,5.28700906344411,2.45755860953921,5.36781609195402,1.35632183908046
"L0032",0.0934579439252336,0.11214953271028,0.0373831775700935,0.0280373831775701,0.0186915887850467,0.191588785046729,0.205607476635514,0,0.0700934579439252,0.088785046728972,0.014018691588785,0.14018691588785,214,1.46666666666667,0,2.16753926701571,3.34782608695652,0.565217391304348
"L0033",0.0328849028400598,0.0926756352765321,0.038863976083707,0.0239162929745889,0.070254110612855,0.158445440956652,0.180866965620329,0,0.127055306427504,0.0328849028400598,0.0612855007473842,0.180866965620329,670,1,1.49253731343284,2.46655791190865,4.24561403508772,0.789473684210526
"L0034",0.0486111111111111,0.111111111111111,0.0833333333333333,0.0243055555555556,0.0625,0.159722222222222,0.184027777777778,0.00694444444444444,0.0902777777777778,0.0277777777777778,0.0347222222222222,0.166666666666667,288,1.10416666666667,10.4166666666667,2.32692307692308,4.17857142857143,0.857142857142857
"L0036",0.0368663594470046,0.0967741935483871,0.0875576036866359,0.0184331797235023,0.0460829493087558,0.19815668202765,0.253456221198157,0.0230414746543779,0.032258064516129,0.0368663594470046,0.00921658986175115,0.161290322580645,217,1.57142857142857,4.60829493087558,2.35532994923858,4,0.6
"L0037",0.0601092896174863,0.139344262295082,0.0136612021857923,0.0245901639344262,0.0546448087431694,0.169398907103825,0.273224043715847,0.0109289617486339,0.0273224043715847,0.0846994535519126,0.0245901639344262,0.117486338797814,372,2.32558139534884,26.8817204301075,2.3841642228739,4.51612903225806,0.548387096774194
"L0039",0.0386666666666667,0.1,0.0653333333333333,0.016,0.0533333333333333,0.176,0.196,0.008,0.092,0.0226666666666667,0.04,0.192,759,1.02083333333333,1.31752305665349,2.13880597014925,3.82022471910112,0.640449438202247
"L0040",0.0618357487922705,0.141062801932367,0.051207729468599,0.0270531400966184,0.051207729468599,0.171014492753623,0.194202898550725,0.0144927536231884,0.085024154589372,0.01256038647343,0.0367149758454106,0.153623188405797,1037,1.26415094339623,2.89296046287367,2.58299180327869,5.32258064516129,1.2258064516129
"L0043",0.0603588907014682,0.141924959216966,0.0570962479608483,0.0375203915171289,0.0603588907014682,0.158238172920065,0.190864600326264,0.0114192495921697,0.065252854812398,0.00815660685154975,0.0309951060358891,0.177814029363785,616,1.07339449541284,3.24675324675325,2.62735042735043,5.7741935483871,1.7741935483871
"L0044",0.0425,0.125625,0.0575,0.03625,0.0475,0.15375,0.18125,0.005625,0.07,0.088125,0.03875,0.153125,1602,1.18367346938776,8.11485642946317,2.41957563312799,4.24475524475525,0.72027972027972
"L0045",0.0946843853820598,0.0863787375415282,0.0664451827242525,0.0481727574750831,0.0498338870431894,0.101328903654485,0.186046511627907,0.00332225913621262,0.0647840531561462,0.142857142857143,0.00830564784053156,0.147840531561462,632,1.25842696629213,1.58227848101266,2.02070393374741,2.24633431085044,0.0791788856304985
"L0047",0.0415282392026578,0.142857142857143,0.0714285714285714,0.0332225913621262,0.0647840531561462,0.162790697674419,0.154485049833887,0.0116279069767442,0.0548172757475083,0.0730897009966777,0.0215946843853821,0.167774086378738,604,0.920792079207921,1.65562913907285,2.50886524822695,5,0.825
"L0049",0.0472143531633617,0.118980169971671,0.072710103871577,0.0321057601510859,0.0585457979225685,0.149197355996223,0.169971671388102,0.00188857412653447,0.0991501416430595,0.0368271954674221,0.0424929178470255,0.170915958451369,1060,0.994475138121547,2.83018867924528,2.57429718875502,5,1.171875
"L0051",0.0539137380191693,0.133386581469649,0.0471246006389776,0.0307507987220447,0.0555111821086262,0.159744408945687,0.206869009584665,0.00718849840255591,0.0654952076677316,0.088258785942492,0.0383386581469649,0.113418530351438,2573,1.82394366197183,11.2708900116595,2.66187658495351,4.33492822966507,0.717703349282297
"L0055",0.0728155339805825,0.0954104148278906,0.0556045895851721,0.0241835834068844,0.0525154457193292,0.0885260370697264,0.194439541041483,0.00979699911738747,0.0559576345984113,0.191615180935569,0.0376875551632833,0.121447484554281,12406,1.60101744186047,1.6121231662099,2.49957861222961,3.48222222222222,0.333888888888889
"L0056",0.0125,0.1375,0.05,0.01875,0.025,0.25,0.21875,0,0.05625,0.0875,0.01875,0.125,160,1.75,0,2.07299270072993,3.43478260869565,0.260869565217391
"L0057",0.0555555555555556,0.145833333333333,0.0532407407407407,0.0231481481481481,0.0324074074074074,0.173611111111111,0.226851851851852,0,0.0648148148148148,0.0185185185185185,0.037037037037037,0.168981481481481,434,1.34246575342466,9.21658986175115,2.41089108910891,4.9,1.2
"L0059",0.0637973581071273,0.150820148062128,0.0586442154158804,0.0349833067208593,0.0373784293801713,0.16141675134272,0.213601393525911,0.0015967484395413,0.0661924807664393,0.0388300188706634,0.0433299462911889,0.12940920307737,13827,1.65058889512058,7.66616041079048,2.71979878959365,4.31764705882353,0.848868778280543
"L0060",0.0266467337138715,0.174173235480656,0.0393936305155386,0.0291406179215366,0.0706894989580502,0.139675636495424,0.181932363866993,0.00573525414514814,0.0747587659690133,0.100904910754734,0.0330003624173235,0.123948989761711,890801,1.46780029604722,10.1549055288443,2.62395232625964,4.22631996919671,0.527747027963614
"L0061",0.058466289243438,0.136798764796706,0.0463201235203294,0.0158517756047349,0.0505404014410705,0.173648996397324,0.237159032424086,0.0356150283067422,0.0499227997941328,0.0420998455995883,0.0391147709727226,0.114462171899125,10090,2.07194244604317,3.07234886025768,2.77455138662316,3.99897435897436,0.53025641025641
"L0062",0.0614203454894434,0.130518234165067,0.0499040307101727,0.0422264875239923,0.0441458733205374,0.130518234165067,0.157389635316699,0.00191938579654511,0.09021113243762,0.109404990403071,0.053742802303263,0.128598848368522,522,1.22388059701493,15.3256704980843,2.89292929292929,5.53571428571429,1.60714285714286
