"doc_id","n_palabras","n_oraciones","long_oracion_media","letras_por_palabra","silabas_por_palabra","ari","rix","flesch_kincaid","fernandez_huerta","szigriszt_pazos","perfil_mu","tokens","tipos","ttr","mtld","hdd","yule_k","entropia_shannon","hapax_ratio","maas","mattr_50","mattr_100","zipf_pendiente","inflesz"
"L0002",4092,293,13.9658703071672,4.25806451612903,1.87536656891496,5.60841902455136,2.72696245733788,11.9860149329917,80.072818151792,76.033792449431,70.3730339889309,4092,1120,0.273704789833822,58.3409793096018,0.825536562956908,128.221482634499,8.24463239429599,0.626785714285714,0.0431330826771537,0.75100173138759,0.637633358377169,-0.915608206440615,"bastante facil"
"L0005",360,24,15,4.17777777777778,1.74444444444444,5.74733333333333,2.95833333333333,10.8444444444444,86.8733333333333,83.1561111111111,62.5982722580884,360,155,0.430555555555556,61.7049071618037,0.783484160086543,164.814814814815,6.55501083904018,0.606451612903226,0.0560043741946261,0.750546623794213,0.644827586206896,NA,"muy facil"
"L0006",210,27,7.77777777777778,4.07142857142857,1.84285714285714,1.63531746031746,0.777777777777778,9.18904761904762,88.3352380952381,84.2472222222222,96.2915292414126,210,113,0.538095238095238,64.205298013245,0.805981398162475,128.344671201814,6.35687013238992,0.690265486725664,0.049908344397721,0.79416149068323,0.676846846846847,NA,"muy facil"
"L0008",500,57,8.7719298245614,4.334,1.884,3.3691049122807,1.64912280701754,10.062252631579,84.8526315789474,80.6898701754386,66.981493078373,500,265,0.53,85.8185513673318,0.828566454563709,131.12,7.2342163560547,0.762264150943396,0.0378511134773935,0.796186252771618,0.71209476309227,NA,"muy facil"
"L0009",708,102,6.94117647058824,4.40112994350283,2,2.76991026919242,1.35294117647059,10.7170588235294,79.76,75.2938235294118,63.616775860478,708,265,0.374293785310734,75.3375652419241,0.804783934793016,149.861151010246,7.08055494292691,0.622641509433962,0.0525426190522546,0.776843702579665,0.655435139573071,-0.752980008522296,"bastante facil"
"L0011",149,8,18.625,4.32885906040268,1.85234899328859,8.27142617449664,3.625,13.5314681208054,76.7015604026846,72.8086577181208,74.2329914107397,149,95,0.63758389261745,64.5006695765137,0.797683382133523,148.641953065177,6.12282397419062,0.821052631578947,0.0413875679873889,0.766399999999999,0.672,NA,"bastante facil"
"L0012",1186,152,7.80263157894737,4.31703204047218,1.8743676222597,2.80453670009763,1.63157894736842,9.57056425845389,86.4192584538919,82.2592655542736,69.1630572105066,1186,464,0.391231028667791,63.6211063564478,0.810219921600672,142.65645572716,7.56229479714833,0.702586206896552,0.0431287673928894,0.772295514511875,0.666200551977925,-0.892734235662862,"muy facil"
"L0013",1057,90,11.7444444444444,4.50520340586566,1.90633869441816,5.66173026384947,2.85555555555556,11.4851299274677,80.4803450015768,76.3256548933039,61.5705158315425,1057,484,0.457899716177862,67.9321933962264,0.847160945536957,107.048652538512,7.82397458972786,0.764462809917355,0.0370944264961122,0.772718253968252,0.669102296450936,-0.774866754268259,"bastante facil"
"L0014",192,20,9.6,4.36979166666667,1.90104166666667,3.95171875,1.9,10.5862916666667,82.9855,78.8001041666667,71.0568452997975,192,111,0.578125,79.4150280862983,0.805526512390296,132.378472222222,6.32631417135858,0.738738738738739,0.0456468534256413,0.781818181818182,0.674408602150538,NA,"bastante facil"
"L0018",903,89,10.1460674157303,3.99778516057586,1.79291251384275,2.47260181417746,1.42696629213483,9.52333395547924,88.9162604053903,84.9904829718666,76.3537094379043,903,332,0.36766334440753,65.6655163759568,0.801072683638479,139.463753772647,7.21076640337378,0.692771084337349,0.0497418940008367,0.767775175644028,0.656455223880597,-0.78620756279374,"muy facil"
"L0023",951,24,39.625,1.45741324921136,1.13249211356467,5.24691640378549,1.54166666666667,13.2271569400631,98.4729731861199,96.6557413249211,51.2190345181334,951,103,0.108307045215563,12.1644838943067,0.460018991215098,571.317369175841,4.74394448229575,0.679611650485437,0.108837798067925,0.394279379157427,0.262194835680751,-1.03906910696358,"muy facil"
"L0024",419,35,11.9714285714286,4.69928400954654,1.99761336515513,6.68934197067848,3.2,12.6506948516877,74.772340947835,70.4122587794068,61.2230343957553,419,201,0.479713603818616,78.2722955145119,0.803630993832048,147.071388292388,6.86425787793467,0.711442786069652,0.0463958216167085,0.773189189189189,0.676093749999999,NA,"bastante facil"
"L0026",850,47,18.0851063829787,4.53529411764706,1.92470588235294,8.97378848560701,3.74468085106383,14.1747209011264,72.9108385481852,68.8407171464331,59.698569365939,850,367,0.431764705882353,69.0903871391076,0.817282166216374,130.214532871972,7.41490764285872,0.73841961852861,0.042504581213639,0.787665418227214,0.681957390146471,-0.777656568914175,"bastante facil"
"L0027",143,33,4.33333333333333,4.08391608391608,1.81818181818182,-0.0280885780885747,0.363636363636364,7.55454545454546,93.3290909090909,89.2289393939394,104.101119393683,143,68,0.475524475524476,25.8599734042553,0.690499755168342,259.181378062497,5.52210959690809,0.661764705882353,0.0694928362669299,0.658085106382978,0.531363636363637,NA,"muy facil"
"L0028",1238,91,13.6043956043956,4.18578352180937,1.84571890145396,5.08723818991993,2.52747252747253,11.495197322871,82.220382396279,78.2423168350228,75.0441352417039,1238,463,0.373990306946688,76.7091916558018,0.818176108064207,133.077218192875,7.59319384595624,0.67170626349892,0.0446568930667463,0.789739276703112,0.685618964003516,-0.868149385684359,"bastante facil"
"L0030",457,25,18.28,4.39387308533917,1.91028446389497,8.40514223194749,4.28,14.0805566739606,73.577332166302,69.5442778993436,58.1842990602059,457,220,0.481400437636761,71.7086277483401,0.816340104397261,137.228332431565,7.00891336994789,0.690909090909091,0.0448744310949198,0.777401960784314,0.684106145251396,NA,"bastante facil"
"L0031",1324,87,15.2183908045977,4.1631419939577,1.79078549848943,5.78759419383964,2.89655172413793,11.4764412959683,83.8701114699448,80.0506726395111,71.0605852880325,1324,497,0.375377643504532,72.8162795864755,0.816001102015578,135.906024954135,7.65507655882623,0.665995975855131,0.0436613520269208,0.792156862745099,0.689820408163268,-0.922285475606761,"muy facil"
"L0032",214,23,9.30434782608696,4.69158878504673,2.03738317757009,5.31955709061357,2.04347826086957,12.079817147501,75.1065745631857,70.6016802112962,77.133174416267,214,107,0.5,61.029915410414,0.795242767928724,143.243951436807,6.28275683358978,0.588785046728972,0.0554298490001008,0.776242424242425,0.645739130434782,NA,"bastante facil"
"L0033",670,57,11.7543859649123,3.93880597014925,1.75223880597015,2.99896910185912,1.70175438596491,9.67062843676355,89.7161979575805,85.9161364231474,73.3770769103716,670,228,0.340298507462687,46.7280488672295,0.761151818698991,185.030073513032,6.71539640306816,0.675438596491228,0.0586149506801895,0.722962962962963,0.565429071803855,-0.726174509514647,"muy facil"
"L0034",288,28,10.2857142857143,4.32638888888889,1.84375,4.09014880952381,2.10714285714286,10.1776785714286,85.7235714285714,81.6836607142857,67.3761368671659,288,164,0.569444444444444,69.1477142842882,0.834991959470573,123.697916666667,6.81051642250702,0.731707317073171,0.0404305423479284,0.789205020920502,0.718201058201058,NA,"muy facil"
"L0036",217,20,10.85,4.65898617511521,2.13364055299539,5.93882488479263,2.45,13.8184585253456,67.7545668202765,63.0591935483871,75.9713411086794,217,112,0.516129032258065,32.5517752338126,0.763090464936528,174.563061436854,6.18372257609548,0.758928571428571,0.0526175840593146,0.666666666666667,0.571186440677966,NA,"normal"
"L0037",372,31,12,4.71236559139785,2.02150537634409,6.76524193548387,3.06451612903226,12.9437634408602,73.3096774193549,68.8952150537635,60.6947568872107,372,204,0.548387096774194,65.4647058823529,0.829809579065392,127.32685859637,7.00001167771274,0.75,0.039486224798935,0.794860681114552,0.706007326007325,NA,"bastante facil"
"L0039",759,89,8.52808988764045,4.0368906455863,1.79183135704875,1.84779988453169,1.39325842696629,8.87956506935501,90.6314668916818,86.6758165682225,81.2954836075488,759,268,0.353096179183136,68.9166944213156,0.797084738610617,142.341094394712,7.02685188875864,0.652985074626866,0.0544983461968297,0.784422535211267,0.646818181818184,-0.730507933761236,"muy facil"
