TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Aeolosaurus_maximus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brasil;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Aeolosaurus;https://www.mindat.org/
Overosaurus_paradasorum;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;"	Overosaurus";https://www.mindat.org/
Mendozasaurus_neguyelap;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;85.8;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Mendozasaurus;https://www.mindat.org/
Ruyangosaurus_giganteus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;101;extinct ;China;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Ruyangosaurus;https://www.mindat.org/
Futalongkosaurus_dukei;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;85.8;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Futalognkosaurus ;https://www.mindat.org/
Quetecsaurus_rusconii;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;"	Quetecsaurus ";https://www.mindat.org/
Puertasaurus_reuili;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Puertasaurus;https://www.mindat.org/
Drusilasaura_deseadensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;99.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;89.3;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Titanosauridae;Drusilasaura;https://www.mindat.org/
Bonitasaura_salgadoi;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;83.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;70.6;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Bonitasaura;https://www.mindat.org/
Patagotitan_mayorum;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;105;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Titanosauridae;Patagotitan;https://www.mindat.org/
Argentinosaurus_hunculensis;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;99.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;89.8;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Argentinosaurus;https://www.mindat.org/
Amazonsaurus_maranhensis;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;101;extinct ;Brasil;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Amazonsaurus;https://www.mindat.org/
Zapalasaurus_bonapartei;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Barremian;130;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;122;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Zapalasaurus;https://www.mindat.org/
Histriasaurus_bocardeli;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Hauterivian;136;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;extinct ;Croacia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Histriasaurus;https://www.mindat.org/
Comahuesaurus_windhanseni;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;122;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;109;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Comahuesaurus;https://www.mindat.org/
