front,n_orfs_norm,nRFdist
F0,0.9557344064386318,0.15803225147989383
F0,0.8128772635814889,0.17563059516519405
F0,0.7565392354124749,0.21194412853935204
F0,0.4185110663983904,0.2573615606683579
F0,0.3762575452716298,0.3327851164960779
F0,0.33601609657947695,0.4009593794651969
F0,0.1911468812877265,0.45769107398011255
F0,-0.002012072434607548,0.8724637681159418
F0,0,1
F1,0.9958703596967374,0.015106122888468035
F1,0.8137671566919807,0.08349220625399821
F1,0.7614245992285427,0.09979225122400766
F1,0.7154221797153588,0.12821519732966818
F1,0.6191800257152449,0.17446146830247716
F1,0.5711697902877447,0.22402031884370072
F1,0.42665771489014015,0.2578903365150143
F1,0.37871081750410107,0.3225553099447059
F1,0.286496962940912,0.3295509966240824
F1,0.23664992431104048,0.44103228339973266
F1,0.18640385601996412,0.45734499597803435
F1,0.13848862765465564,0.52956303085196
F1,0.0036609387964505746,0.8731592381700374
F1,0,1
F2,0.9981684848396638,0.003973538851166955
F2,0.8096631225028931,0.0800457029743321
F2,0.7657261654379749,0.09046714552904105
F2,0.7162922370441531,0.09954224250231063
F2,0.5258947133496837,0.1424943053220677
F2,0.47660148413374204,0.2283911534178984
F2,0.4308645479311157,0.25602398678398064
F2,0.37970584168431487,0.32337037603068214
F2,0.28449131182576615,0.32623707326303225
F2,0.23505738343194416,0.34531217023630184
F2,0.18757626259318305,0.42062019227270425
F2,0.13832912448723655,0.5316827864259256
F2,0.09471480519228503,0.7182644513823695
F2,0.005247108995771743,0.8689023280862245
F3,0.99465770638443,0.005150025979019923
F3,0.9019526609612007,0.06746355040502092
F3,0.8042623903902804,0.06933766088108934
F3,0.7064141856893367,0.09885074309152622
F3,0.5227927240432968,0.14114504533167307
F3,0.47124339938337023,0.22256830651123496
F3,0.28292640498430954,0.24005758873494756
F3,0.22907773334767711,0.3452582992096426
F3,0.19136580977864048,0.42002928899885783
F3,0.13281136484844047,0.5319801208997209
F3,0.09206873110226588,0.7133477205985016
F3,0.0042459103071474935,0.8724304231490233
F3,0,1
F4,1,0
F4,0.9061383656557918,0.08042895442359249
F4,0.7658368441210262,0.096514745308311
F4,0.7164792312245394,0.09919571045576403
F4,0.622896138713833,0.12868632707774796
F4,0.5707322168448172,0.21179624664879348
F4,0.5187423836217401,0.227882037533512
F4,0.33166672469621516,0.25201072386058976
F4,0.2871487761568189,0.39142091152815006
F4,0.23775634553114433,0.40750670241286846
F4,0.19096131750287237,0.4235924932975871
F4,0.09450924410709938,0.5576407506702412
F4,0,1
