Isolate name;Standardized name;Isolation;Ecological origins;Geographical origins;HO deletion;Plasmid class;Plasmid CN;Ploidy;Aneuploidies;Zygosity;Total number of SNPs;Proportion of clean heterozygous SNPs (whole dataset);Number of singletons;Mean coverage;Clades;MTA (no distribution);Collection / Provider;Reference
DBVPG1108;BIL;Grapes;Wine;Australia;no;A;20;2;euploid;homozygous;42,550;0.0;620;174;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG3591_1b;ABS;Cocoa beans;Nature;NA;yes;A;15;1;euploid;homozygous;42,657;0.0;640;297;1. Wine/European ;;DBVPG collection;1
DBVPG1125;BIP;Grape must;Wine;Torre dei Passeri, Italy;no;none;0;2;"aneu;+1*8;";homozygous;43,035;0.0;4;252;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1126;BIQ;Grape must;Wine;Aquila, Italy;no;none;0;1;"aneu;+1*3;";homozygous;43,045;0.0;6;267;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1699;BNI;Grape must;Wine;De Casa la Reina, Rioja, Spain;no;A;82;2;euploid;homozygous;43,076;0.0;561;270;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG3022;BLV;Grape must;Wine;Squinzano, Italy;no;A;20;2;euploid;homozygous;43,000;0.0;9;235;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG3098;BQG;Grape must;Wine;Calabria, Italy;no;A;17;2;euploid;homozygous;43,002;0.0;5;279;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
FIMA_3;CRD;Wine;Wine;Italy;no;A;8;2;euploid;homozygous;42,581;0.0;398;137;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
AGME_5I;CRI;Wine;Wine;Italy;no;A;14;2;"aneu;+1*4;+1*8;+1*15;";homozygous;43,507;0.0;435;293;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
SA6-31;BVM;Spontaneous grape fermentation;Wine;Toscana, Italy;no;A;4;2;euploid;homozygous;43,129;0.0;2;241;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
CD7-9Sv2;CQV;Wine;Wine;Italy;no;A;5;2;euploid;homozygous;42,973;0.0;0;204;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
E1-6;CRK;Wine ;Wine;Italy;no;A;5;2;euploid;homozygous;43,119;0.0;6;241;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
DBVPG1615;BLF;Grape must;Wine;La Mancha, Spain;no;A;43;2;euploid;heterozygous;45,555;10.4;67;235;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1617-5A;CEA;Soil;Soil;Spain;yes;A;42;1;euploid;homozygous;43,167;0.0;3;267;1. Wine/European ;;DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DBVPG1619-4B;CEB;Soil;Soil;Spain;yes;A;34;1;euploid;homozygous;43,074;0.0;16;239;1. Wine/European ;;DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DBVPG1772;BNT;Soil;Soil;Kuopio, Finland;no;none;0;2;euploid;homozygous;42,917;0.0;703;213;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1608;BLD;Grape must;Wine;La Mancha, Spain;no;A;48;2;euploid;homozygous;43,024;0.0;445;270;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1594;BKR;Grape must;Wine;Los Cerros, La Mancha, Spain ;no;A;27;2;euploid;homozygous;43,106;0.0;27;261;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1620-1A;CEC;Soil;Soil;Spain;no;A;58;2;euploid;homozygous;43,041;0.0;24;270;1. Wine/European ;;DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DBVPG1685;BNH;Grape must;Wine;Haro, Rioja, Spain;no;A;62;2;euploid;homozygous;42,926;0.0;257;191;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1606;BLC;Grape must;Wine;Villarta de San Juan, La Mancha, Spain;no;A;111;2;euploid;heterozygous;44,118;4.2;146;309;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1622-8B;CEE;Soil;Soil;Spain;no;A;157;2;euploid;homozygous;42,823;0.0;54;243;1. Wine/European ;;DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DBVPG1712;BNN;Grape must;Wine;Pedrejon, Rioja, Spain;no;A;4;2;euploid;homozygous;43,088;0.0;451;297;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1621-5A;CED;Soil;Soil;Spain;no;A;54;2;euploid;homozygous;43,285;0.0;12;270;1. Wine/European ;;DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DBVPG1595;BKS;Grape must;Wine;La Mancha, Spain;no;A;20;2;euploid;heterozygous;45,291;9.6;11;239;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1661;BLP;Grape must;Wine;Los Polos, La Mancha, Spain;no;A;41;2;euploid;heterozygous;45,275;8.4;19;303;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1659;BLN;Grape must;Wine;Campo de Santiago, La Mancha, Spain;no;A;13;2;euploid;heterozygous;45,666;10.2;5;267;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1616-1D;CDV;Soil;Soil;Spain;no;A;71;2;euploid;homozygous;42,948;0.0;8;275;1. Wine/European ;;DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
DBVPG1623-2A;CEF;Soil;Soil;Spain;no;A;90;2;euploid;homozygous;42,951;0.0;2;250;1. Wine/European ;;DBVPG collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
L-1191;ANQ;Wine;Wine;Valle de Ica, Peru;no;A;15;2;euploid;homozygous;42,592;0.0;468;192;1. Wine/European ;;Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez);11
L-1194;AVK;Wine;Wine;Valle de Ica, Peru;no;A;10;2;euploid;homozygous;43,340;0.0;481;242;1. Wine/European ;;Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez);11
DBVPG1107;BIK;Grapes;Wine;McLaren Valley, Australia;no;A;57;2;euploid;homozygous;42,526;0.0;229;172;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
NCYC_2743;CLH;Unknown;Wine;Spain;no;A;11;2;"aneu;+1*2;+1*13;+1*15;";homozygous;42,805;0.0;302;240;1. Wine/European ;;National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts);
CBS5635;AHN;Grape must;Wine;South Africa;yes;A;137;1;euploid;homozygous;42,374;0.0;1;209;1. Wine/European ;;CBS collection (Nguyen H.V.);
DBVPG6295;BSG;Grape must;Wine;South Africa;no;A;68;2;euploid;homozygous;42,584;0.0;5;246;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
YJM1341;SACE_YCA;Unknown;Wine;South Africa;no;A;84;2;euploid;homozygous;42,110;0.0;5;66;1. Wine/European ;;Phaff collection;2
UC8_1b;ACT;Wine;Wine;South Africa;yes;A;11;1;"aneu;+1*1;";homozygous;43,038;0.0;2;243;1. Wine/European ;;Kruglyak Laboratory;1
WE372_1b;ACV;Wine;Wine;South Africa;yes;A;17;1;"aneu;+1*1;";homozygous;43,066;0.0;3;256;1. Wine/European ;;Kruglyak Laboratory;1
CLQCA_02-003;AKP;Heart of palm processing equipment;Industrial;Santo Domingo, Ecuador;no;A;14;2;euploid;homozygous;42,751;0.0;0;208;1. Wine/European ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
CLQCA_10-027;AKV;Grass;Nature;Pichincha, Ecuador;no;A;12;2;euploid;homozygous;42,950;0.0;2;246;1. Wine/European ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
CLQCA_17-060;ALE;Hemipteran insect;Insect;Loja, Ecuador;no;A;14;2;euploid;homozygous;42,972;0.0;1;248;1. Wine/European ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
DBVPG4297;BQP;Prosecco wine;Wine;Treviso, Italy ;no;B;16;2;euploid;homozygous;43,470;0.0;372;231;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG4686;BRB;Winery;Wine;Deruta, Perugia, Italy;no;A;6;2;euploid;heterozygous;46,987;14.4;605;222;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1145;BIT;Grape must;Wine;Corvo, Sicily, Italy;no;none;0;2;euploid;homozygous;43,613;0.0;577;275;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
CBS5112;AQB;Grape must;Wine;Spain;no;A;70;2;euploid;homozygous;42,937;0.0;6;265;1. Wine/European ;;CBS collection (Nguyen H.V.);
DBVPG6223;BRH;Grape must;Wine;Spain;no;A;51;2;euploid;homozygous;43,575;0.0;13;321;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
CECT10109_1b;ABP;Prickly pear;Fruit;Spain;yes;A;95;1;euploid;homozygous;44,496;0.0;1,325;215;1. Wine/European ;;CECT collection;1
DBVPG1127;BIR;Grape must;Wine;Popoli, Italy;no;A;25;2;euploid;heterozygous;48,291;18.6;1,703;290;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
1235;CPF;Unknown;Unknown;Guimar, Tenerife, Spain;no;A;7;2;"aneu;+1*2;+1*4;+1*8;+1*9;+1*13;+1*15;";heterozygous;46,549;12.7;1,593;316;1. Wine/European ;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
DBVPG1085;BNG;Grape must;Wine;Corato, Italy;no;A;58;3;euploid;heterozygous;54,418;29.9;800;244;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
E4;AIM;;Wine;Umbria, Italy;no;A;24;2;euploid;heterozygous;50,929;23.2;166;217;1. Wine/European ;;;12
ho_SB;CFB;Wine;Wine;Bordeaux ;no;A;94;2;"aneu;+2*9;";homozygous;45,420;0.0;5;260;1. Wine/European ;;BioLaffort ISVV EA Enology Université de Bordeaux, France (Marullo P.);
Lib73;CHF;Fermenting grape must (red wine);Wine;Lebanon;no;A;40;2;euploid;heterozygous;53,225;32.4;932;210;1. Wine/European ;;INRA Gringnon, France (Nguyen H.V.);
CLIB889;BHB;Bakery;Bakery;Australia;no;A;367;2;euploid;heterozygous;50,401;22.6;17;203;1. Wine/European ;;CLIB collection / INRA Gringnon, France (Nguyen H.V.);
CBS4093a;AAK;Film on white wine;Wine;Spain;yes;A;3;1;euploid;homozygous;46,926;0.0;303;267;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS5835;AHP;Wine;Wine;Spain;no;A;42;2;euploid;heterozygous;48,250;6.2;318;265;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS6007;AET;Wine;Wine;Spain;yes;none;0;1;euploid;homozygous;46,468;0.0;245;185;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS4079;AEK;Film on white wine;Wine;Spain;yes;A;4;1;euploid;homozygous;46,527;0.0;133;303;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS6006;AQE;Wine;Wine;Spain;no;A;68;2;euploid;heterozygous;47,932;5.4;246;218;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS462;AQP;Grape must;Wine;Spain;no;none;0;2;"aneu;+1*1;+1*9;";heterozygous;48,007;4.6;350;219;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS4092;ASA;Film on white wine;Wine;Spain;no;A;188;3;"aneu;+1*9;";heterozygous;49,347;10.7;474;172;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
DBVPG1878;BPL;Grape must;Wine;Piave, Italy;no;A;8;2;euploid;heterozygous;48,779;8.2;390;258;1. Wine/European (subclade 4);;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
MC6;AIP;Grape;Wine;Umbria, Italy;no;A;32;2;"aneu;+1*9;";heterozygous;49,569;10.3;85;233;1. Wine/European (subclade 4);;Università politecnica delle Marche (Maurizio Ciani);4
8-3;CAN;Wine conserved in amphora;Wine;Georgia;no;A;111;2;"aneu;+1*9;";heterozygous;49,331;10.2;26;188;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
11-8;CAB;Wine conserved in amphora;Wine;Georgia;no;A;22;2;euploid;heterozygous;49,090;9.4;71;265;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
11-2;CAP;Wine conserved in amphora;Wine;Georgia;no;A;42;2;euploid;heterozygous;48,490;6.2;11;272;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
CBS5155;AQC;Fermenting Grape must;Wine;South Armenia;no;A;94;2;euploid;heterozygous;47,571;4.6;1,303;181;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS2247;AHK;Grape must;Wine;South Africa;yes;A;20;1;euploid;homozygous;46,341;0.0;190;211;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS4054;AES;Red wine;Wine;Spain;yes;A;6;1;"aneu;+1*2;";homozygous;46,056;0.0;133;184;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS2183;AFI;Wine;Wine;Chateau Chalon France;yes;A;2;1;euploid;homozygous;46,921;0.0;165;407;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
DBVPG1919;BPR;Caverns;Nature;Italy;no;A;28;3;euploid;heterozygous;49,913;12.8;1,022;219;1. Wine/European (subclade 4);;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
CBS2180;AIA;Turbid Italian wine;Wine;Italy;yes;A;38;1;euploid;homozygous;46,115;0.0;113;175;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
B-24;BVT;Wine conserved in amphora;Wine;Georgia;no;A;35;2;euploid;heterozygous;48,086;7.6;38;203;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
5-18;CAA;Wine conserved in amphora;Wine;Georgia;no;A;38;2;euploid;heterozygous;48,248;6.4;22;260;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
A-12;CAC;Wine conserved in amphora;Wine;Georgia;no;A;88;2;euploid;heterozygous;48,485;7.8;0;236;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
8-15;BVV;Wine conserved in amphora;Wine;Georgia;no;A;137;2;euploid;heterozygous;48,435;7.9;4;226;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
11-18;CAD;Wine conserved in amphora;Wine;Georgia;no;A;27;2;euploid;heterozygous;48,531;8.0;2;269;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
9-7;CAM;Wine conserved in amphora;Wine;Georgia;no;none;0;2;euploid;heterozygous;48,564;8.3;18;179;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
5-2;CAQ;Wine conserved in amphora;Wine;Georgia;no;none;0;2;euploid;heterozygous;48,986;8.6;22;228;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
1-9;CBB;Wine conserved in amphora;Wine;Georgia;no;A;76;2;euploid;heterozygous;48,823;9.2;8;226;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
D-21;CBE;Wine conserved in amphora;Wine;Georgia;no;A;115;2;euploid;heterozygous;48,703;9.3;10;191;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
CBS2806a;AAE;Wine;Wine;Slovakia;yes;A;24;1;euploid;homozygous;46,244;0.0;119;228;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS2805;AIB;Wine;Wine;Slovakia;yes;A;3;1;euploid;homozygous;46,167;0.0;267;233;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
B-17;CAS;Wine conserved in amphora;Wine;Georgia;no;A;159;2;euploid;homozygous;43,091;0.0;2;70;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
A-9;CAR;Wine conserved in amphora;Wine;Georgia;no;A;124;2;euploid;homozygous;46,284;0.0;0;195;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
C-12;CAT;Wine conserved in amphora;Wine;Georgia;no;A;134;2;euploid;homozygous;46,325;0.0;0;197;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
D-18;CBC;Wine conserved in amphora;Wine;Georgia;no;A;69;2;euploid;homozygous;45,980;0.0;4;165;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
B-13;CAV;Wine conserved in amphora;Wine;Georgia;no;A;53;2;"aneu;+1*3;";homozygous;46,179;0.0;4;206;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
B-11;CBD;Wine conserved in amphora;Wine;Georgia;no;A;75;2;euploid;homozygous;46,037;0.0;6;179;1. Wine/European (subclade 4);;University of Basilicata (Angela Capece and Patrizia Romano);7
CBS2814;AFV;Wine;Wine;Slovakia;no;A;31;2;"aneu;-1*5;";homozygous;46,080;0.0;13;224;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS2808;ART;Wine;Wine;Slovakia;no;A;134;2;euploid;heterozygous;48,185;8.5;113;191;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
CBS2807;AIC;Wine;Wine;Slovakia;yes;none;0;1;euploid;homozygous;46,159;0.0;39;202;1. Wine/European (subclade 4);;CBS collection (Nguyen H.V.);
YJM270;SACE_YAF;Unknown;Wine;Slovenia;no;none;0;2;euploid;homozygous;46,607;0.0;35;84;1. Wine/European (subclade 4);;Phaff collection;2
L-958;BSR;Wine;Wine;Mendoza area, Argentina;no;A;11;2;euploid;heterozygous;54,243;34.6;8;151;1. Wine/European ;;Pontificia Universidad Catolica de Chile (Claudio Martinez);
L-960;BSS;Wine;Wine;Mendoza area, Argentina;no;A;17;2;euploid;heterozygous;54,975;35.3;12;188;1. Wine/European ;;Pontificia Universidad Catolica de Chile (Claudio Martinez);
L-1201;BTR;Heterozygote, 12% Sporulation Efficiency;Wine;Valle de Ica, Peru;no;A;10;2;euploid;heterozygous;53,926;33.6;4;148;1. Wine/European ;;Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez);11
L-1198;BTP;Heterozygote, 12% Sporulation Efficiency;Wine;Valle de Ica, Peru;no;A;7;2;euploid;heterozygous;53,951;31.5;6;221;1. Wine/European ;;Universidad de Santiago de Chile (Francisco Cubillos) and Pontificia Universidad Catolica de Chile (Claudio Martinez);11
M1;ASR;Vineyard;Wine;Italy;no;A;61;2;euploid;heterozygous;53,806;30.9;12;251;1. Wine/European ;;Washington University School of Medicine (Justin C Fay);5
YJM1574;SACE_YDJ;wine/European;Wine;NA;no;A;76;2;"aneu;+1*1;+1*6;";homozygous;46,850;0.0;9;302;1. Wine/European ;;;2
CECT10266;AVB;Tanning liquor;Industrial;Spain;no;A;17;1;euploid;homozygous;47,764;0.0;714;198;2. Alpechin ;;CECT collection;
CECT10171-5B;CDT;Larvae of Dacus oleae;Insect;Spain;no;A;43;2;euploid;homozygous;49,211;0.0;1,170;229;2. Alpechin ;;CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
1560;CPG;Manzanilla-Alorena, olive (Noe), 2003;Nature;Aceituna, Spain;no;A;12;2;euploid;homozygous;48,602;0.0;926;271;2. Alpechin ;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
CBS3093_1b;ABM;Alpechin (waste from olive oil production);Industrial;Spain;yes;A;31;1;euploid;homozygous;47,755;0.0;259;198;2. Alpechin ;;CBS collection (Nguyen H.V.);1
CBS3093;AHM;Alpechin (waste from olive oil production);Industrial;Spain;yes;A;75;1;euploid;homozygous;47,369;0.0;169;206;2. Alpechin ;;CBS collection (Nguyen H.V.);
CBS4903;AQA;Alpechin (waste from olive oil production);Industrial;Spain;no;A;107;2;euploid;heterozygous;49,143;6.2;1,195;229;2. Alpechin ;;CBS collection (Nguyen H.V.);
CBS5378;AQD;Alpechin (waste from olive oil production);Industrial;Spain;no;A;64;2;"aneu;+1*8;";heterozygous;49,020;5.2;339;231;2. Alpechin ;;CBS collection (Nguyen H.V.);
CECT10497;ATQ;Alpechin (waste from olive oil production);Industrial;Spain;no;A;40;2;"aneu;+2*9;+1*11;";homozygous;48,938;0.0;505;249;2. Alpechin ;;CECT collection;
UCD_09-448;CGD;Olives from Middle of season 1. on RBCA 11.25.09 Streaked onto PDA 11/30/09;Fruit;Davis, CA, UCD;no;B;65;2;euploid;homozygous;48,515;0.0;505;190;2. Alpechin ;;Phaff collection;
UCD_11-601;CGE;Olive fermentation, 1-gallon, Bucket 5B brine, Sicilian style olives, inoculated with Saccharomyces cerevisiase from 2009 olives.;Fruit;Davis, CA, UCD Food Science, Pilot plant. ;no;B;90;2;euploid;homozygous;47,666;0.0;99;190;2. Alpechin ;;Phaff collection;
CBS3081;AHL;Alpechin (waste from olive oil production);Industrial;Spain;yes;none;0;1;euploid;homozygous;48,054;0.0;101;236;2. Alpechin ;;CBS collection (Nguyen H.V.);
DBVPG6302;BRK;Alpechin (waste from olive oil production);Industrial;Spain;no;none;0;2;euploid;homozygous;48,294;0.0;228;220;2. Alpechin ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
YJM1252;SACE_YBR;Alpechin (waste from olive oil production);Industrial;Spain;no;none;0;2;euploid;homozygous;48,964;0.0;295;424;2. Alpechin ;;Phaff collection;2
CBS2909;AID;Human feces;Human;NA;no;A;46;2;euploid;heterozygous;48,742;4.9;543;200;2. Alpechin ;;CBS collection (Nguyen H.V.);
CBS2910;AIE;Human feces;Human;Portugal;yes;A;22;1;"aneu;+1*9;";homozygous;47,729;0.0;141;203;2. Alpechin ;;CBS collection (Nguyen H.V.);
YJM248;SACE_YAE;Faeces;Human;NA;no;A;78;2;euploid;homozygous;45,765;0.0;229;59;2. Alpechin ;;Phaff collection;2
YJM1078;SACE_YDM;Clinical;Human, clinical;Portugal;no;A;44;2;euploid;homozygous;47,648;0.0;786;48;2. Alpechin ;;Phaff collection;2
CBS439;AGN;Silvaner grapes;Wine;Germany;yes;none;0;1;euploid;homozygous;43,915;0.0;446;190;M1. Mosaic region 1 ;;CBS collection (Nguyen H.V.);
M6;AST;Vineyard;Wine;Italy;no;A;102;2;euploid;heterozygous;50,184;23.4;367;177;M1. Mosaic region 1 ;;Washington University School of Medicine (Justin C Fay);5
CLIB1060;BHE;Cider brewery, half fermenting apple juice;Cider;Brittany, France;no;B;99;2;"aneu;+1*14;";heterozygous;52,132;28.6;393;202;M1. Mosaic region 1;;CLIB collection (Serge Casaregola);
CLIB1059;BHD;Cider brewery, half fermenting apple juice;Cider;Brittany, France;no;A;110;2;euploid;heterozygous;53,019;34.1;465;177;M1. Mosaic region 1;;CLIB collection (Serge Casaregola);
CLIB1085;BHM;Cider brewery, dry cider;Cider;Upper Normandy, France;no;A;22;2;euploid;heterozygous;46,922;8.6;251;243;M1. Mosaic region 1;;CLIB collection (Serge Casaregola);
CLIB1083;BHT;Cider brewery, dry cider;Cider;Upper Normandy, France;no;B;78;2;euploid;homozygous;46,705;0.0;491;264;M1. Mosaic region 1;;CLIB collection (Serge Casaregola);
M9;ASV;Vineyard;Wine;Italy;no;A;71;2;"aneu;+1*9;";heterozygous;53,155;41.8;503;181;M1. Mosaic region 1;;Washington University School of Medicine (Justin C Fay);5
CBS1540;AHF;Tibi grains;Nature;Switzerland;yes;A;29;1;euploid;homozygous;48,908;0.0;72;235;M1. Mosaic region 1;;CBS collection (Nguyen H.V.);
SJ5L14;AMP;Fruiting body of Auricularia auricular;Fruit;Taian, Miaoli, Taiwan;no;none;0;2;euploid;heterozygous;54,334;19.9;132;183;M1. Mosaic region 1;;National Hsinchu University of Education (Ching-Fu Lee);25
995;CPB;Fermented beverage from raisins and sugar;Beer;Hungary;no;A;17;2;"aneu;+1*3;";heterozygous;55,098;24.5;219;159;M1. Mosaic region 1;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
I14_1b;ACS;Vineyard soil;Wine;Italy;yes;A;27;1;euploid;homozygous;47,210;0.0;144;238;M1. Mosaic region 1;;Kruglyak Laboratory;1
YJM1387;SACE_YCI;Unknown;Wine;Japan;no;none;0;2;euploid;homozygous;45,307;0.0;446;149;M1. Mosaic region 1;;Phaff collection;2
CLIB1082;BHL;Cider brewery, dry cider;Cider;Upper Normandy, France;no;B;38;2;euploid;heterozygous;56,010;38.1;683;238;M1. Mosaic region 1;;CLIB collection (Serge Casaregola);
CLIB1077;BHK;Cider brewery, dry cider;Cider;Upper Normandy, France;no;A;17;2;euploid;heterozygous;55,477;38.0;599;239;M1. Mosaic region 1;;CLIB collection (Serge Casaregola);
CLIB413_1b;ACG;Fermenting rice beverage;Fermentation;China;yes;B;38;1;euploid;homozygous;44,262;0.0;5;178;M1. Mosaic region 1;;CLIB collection;1
CLIB483_1b;ACH;Cider;Cider;Brittany, France;yes;B;47;1;euploid;homozygous;44,503;0.0;4;204;M1. Mosaic region 1;;CLIB collection;1
SRC 120;CHV;Cider bioindustrial strain ;Cider;France;no;B;84;2;"aneu;+1*9;+1*11;+1*16;";homozygous;44,251;0.0;104;267;M1. Mosaic region 1;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
CBS7959;AFR;Factory producing ethanol (sugar cane syrup);Industrial;Sao Paulo, Brazil;yes;A;21;1;"aneu;+1*1;";homozygous;50,923;0.0;465;251;3. Brazilian bioethanol ;;CBS collection (Nguyen H.V.);
RP.10.14;BVC;Bioethanol;Bioethanol;Brazil;no;B;6;2;euploid;heterozygous;62,879;39.9;459;190;3. Brazilian bioethanol ;;IBB-Unesp (Ana Teresa B. F. Antonangelo );13
CBS7962;AEG;Fermenting concentrated syrup (sugar cane);Industrial;Brazil;yes;B;77;1;euploid;homozygous;52,280;0.0;227;255;3. Brazilian bioethanol ;;CBS collection (Nguyen H.V.);
CBS7961;AGM;Fermenting concentrated syrup (sugar cane);Industrial;Sao Paulo, Brazil;yes;B;23;1;euploid;homozygous;53,519;0.0;266;434;3. Brazilian bioethanol ;;CBS collection (Nguyen H.V.);
SA.10.1.VL1;CNQ;Bioethanol;Bioethanol;Brazil;no;B;10;2;euploid;heterozygous;66,761;51.4;261;239;3. Brazilian bioethanol ;;IBB-Unesp (Ana Teresa B. F. Antonangelo );13
CBS7964;AEH;Fermenting concentrated syrup (sugar cane);Industrial;Brazil;yes;B;85;1;euploid;homozygous;48,968;0.0;48;270;3. Brazilian bioethanol ;;CBS collection (Nguyen H.V.);
