Isolate name;Standardized name;Isolation;Ecological origins;Geographical origins;HO deletion;Plasmid class;Plasmid CN;Ploidy;Aneuploidies;Zygosity;Total number of SNPs;Proportion of clean heterozygous SNPs (whole dataset);Number of singletons;Mean coverage;Clades;MTA (no distribution);Collection / Provider;Reference
RM11-1a;AAA;Zinfandel vineyard;Wine;California, USA;yes;none;0;1;euploid;homozygous;42,872;0.0;254;218;1. Wine/European ;;Kruglyak Laboratory;
UCD_40-255;CFS;Red Tokay grapes  (1939);Wine;Walnut Creek, California;no;A;153;4;"aneu;+1*2;-1*6;";homozygous;43,275;0.0;110;302;1. Wine/European ;;Phaff collection;
EXF-5248;BEV;Seawater in harbour;Water;Koper, Slovenia;no;A;60;2;euploid;homozygous;42,934;0.0;1;190;1. Wine/European ;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
EXF-5247;BET;Seawater in harbour;Water;Koper, Slovenia;no;A;66;2;euploid;homozygous;43,202;0.0;4;236;1. Wine/European ;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
L-962;BST;Wine;Wine;Mendoza area, Argentina;no;A;8;2;euploid;homozygous;43,269;0.0;2;223;1. Wine/European ;;Pontificia Universidad Catolica de Chile (Claudio Martinez);
M5;ASS;Vineyard;Wine;Italy;no;A;31;2;euploid;homozygous;44,701;0.0;124;204;1. Wine/European ;;Washington University School of Medicine (Justin C Fay);5
DBVPG6879;BSD;Winery;Wine;Newton Winery, California, USA;no;A;24;2;euploid;homozygous;44,287;0.0;167;243;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
UC10;ATM;Wine;Wine;California, USA;no;A;114;2;euploid;homozygous;43,247;0.0;150;175;1. Wine/European ;;Washington University School of Medicine (Justin C Fay);5
L-982;CQT;Wine;Wine;Argentina;no;A;24;2;euploid;homozygous;43,581;0.0;70;292;1. Wine/European ;;Pontificia Universidad Catolica de Chile (Claudio Martinez);
DBVPG6876;BSA;Winery;Wine;Frog's Leap Winery, California, USA;no;A;33;2;euploid;homozygous;43,387;0.0;255;342;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
M22_1b;ADR;Vineyard;Wine;Italy;yes;A;25;1;euploid;homozygous;42,508;0.0;124;226;1. Wine/European ;;Kruglyak Laboratory;1
DBVPG6878;BSC;Winery;Wine;Mondavi Winery, California, USA;no;A;7;2;euploid;homozygous;42,795;0.0;155;236;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
UCD_40-235;CFQ;Muscate grapes;Wine;Walnut Creek, California;no;A;63;2;euploid;homozygous;43,187;0.0;245;340;1. Wine/European ;;Phaff collection;
UCD_40-248;CFR;Muscat must to be fortified  (1939);Wine;Tulare Winery, California;no;none;0;2;euploid;homozygous;42,776;0.0;206;219;1. Wine/European ;;Phaff collection;
DBVPG6877;BSB;Winery;Wine;Sterling Winery, California, USA;no;none;0;2;euploid;homozygous;43,010;0.0;194;250;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
UC1_1b;ADC;Wine;Wine;France;yes;A;27;1;euploid;homozygous;42,594;0.0;16;259;1. Wine/European ;;Kruglyak Laboratory;1
YJM1415;SACE_YCP;Wine;Wine;France;no;A;106;2;euploid;homozygous;43,403;0.0;8;410;1. Wine/European ;;Phaff collection;2
YJM1417;SACE_YCQ;Cider;Cider;NA;no;A;48;2;euploid;homozygous;43,132;0.0;209;472;1. Wine/European ;;Phaff collection;2
DBVPG1106;BII;Grapes;Wine;Australia;no;A;60;2;euploid;homozygous;43,102;0.0;207;257;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1129;BIS;Grape must;Wine;Senigallia, Italy;no;A;11;2;euploid;homozygous;43,106;0.0;185;227;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1080;BIG;Grape must;Wine;Barletta, Italy;no;A;47;2;"aneu;-1*1;";homozygous;43,119;0.0;502;277;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
MC8;AIR;Cooked wine (vino cotto);Wine;Ascoli Piceno, Italy;no;A;15;2;euploid;homozygous;42,709;0.0;0;244;1. Wine/European ;;Università politecnica delle Marche (Maurizio Ciani);
