"generation","hypervolume","best_so_far"
0,3.6119,3.6119
1,3.6743,3.6743
2,3.6778,3.6778
3,3.6783,3.6783
4,3.679,3.679
5,3.6791,3.6791
6,3.683,3.683
7,3.6863,3.6863
8,3.6865,3.6865
9,3.6905,3.6905
10,3.6907,3.6907
11,3.6908,3.6908
12,3.6909,3.6909
13,3.6909,3.6909
14,3.691,3.691
15,3.691,3.691
16,3.6913,3.6913
17,3.6914,3.6914
18,3.6915,3.6915
19,3.6916,3.6916
20,3.6916,3.6916
21,3.6917,3.6917
22,3.6917,3.6917
23,3.6918,3.6918
24,3.6918,3.6918
25,3.6918,3.6918
26,3.6924,3.6924
27,3.6925,3.6925
28,3.6926,3.6926
29,3.7024,3.7024
30,3.7025,3.7025
31,3.703,3.703
32,3.703,3.703
33,3.703,3.703
34,3.703,3.703
35,3.703,3.703
36,3.7032,3.7032
37,3.7032,3.7032
38,3.7033,3.7033
39,3.7033,3.7033
40,3.7033,3.7033
41,3.7034,3.7034
42,3.7035,3.7035
43,3.7036,3.7036
44,3.7036,3.7036
45,3.7036,3.7036
46,3.7036,3.7036
47,3.7037,3.7037
48,3.704,3.704
49,3.704,3.704
50,3.7077,3.7077
51,3.7077,3.7077
52,3.7078,3.7078
53,3.7078,3.7078
54,3.7078,3.7078
55,3.7078,3.7078
56,3.7078,3.7078
57,3.7078,3.7078
58,3.7078,3.7078
59,3.7078,3.7078
60,3.7078,3.7078
61,3.7078,3.7078
62,3.7078,3.7078
63,3.7078,3.7078
64,3.7078,3.7078
65,3.7078,3.7078
66,3.7078,3.7078
67,3.708,3.708
68,3.708,3.708
69,3.708,3.708
70,3.708,3.708
71,3.7086,3.7086
72,3.7086,3.7086
73,3.7086,3.7086
74,3.7086,3.7086
75,3.7086,3.7086
76,3.7086,3.7086
77,3.7086,3.7086
78,3.7087,3.7087
79,3.7087,3.7087
80,3.7087,3.7087
81,3.7087,3.7087
82,3.7087,3.7087
83,3.7087,3.7087
84,3.7089,3.7089
85,3.7089,3.7089
86,3.7089,3.7089
87,3.7089,3.7089
88,3.7089,3.7089
89,3.7089,3.7089
90,3.709,3.709
91,3.709,3.709
92,3.709,3.709
93,3.709,3.709
94,3.709,3.709
95,3.709,3.709
96,3.709,3.709
97,3.709,3.709
98,3.709,3.709
99,3.709,3.709
100,3.709,3.709
101,3.709,3.709
102,3.709,3.709
103,3.709,3.709
104,3.7093,3.7093
105,3.7093,3.7093
106,3.7093,3.7093
107,3.7093,3.7093
108,3.7093,3.7093
109,3.7093,3.7093
110,3.7093,3.7093
111,3.7094,3.7094
112,3.7094,3.7094
113,3.7094,3.7094
114,3.7094,3.7094
115,3.7094,3.7094
116,3.7094,3.7094
117,3.7094,3.7094
118,3.7094,3.7094
119,3.7095,3.7095
120,3.7095,3.7095
121,3.7095,3.7095
122,3.7095,3.7095
123,3.7095,3.7095
124,3.7095,3.7095
125,3.7095,3.7095
126,3.7095,3.7095
127,3.7095,3.7095
128,3.7095,3.7095
129,3.7095,3.7095
130,3.7095,3.7095
131,3.7095,3.7095
132,3.7095,3.7095
133,3.7095,3.7095
134,3.7095,3.7095
135,3.7095,3.7095
136,3.7095,3.7095
137,3.7095,3.7095
138,3.7095,3.7095
139,3.7095,3.7095
140,3.7095,3.7095
141,3.7095,3.7095
142,3.7095,3.7095
143,3.7096,3.7096
144,3.7096,3.7096
145,3.7097,3.7097
146,3.7097,3.7097
147,3.7097,3.7097
148,3.7097,3.7097
149,3.7097,3.7097
150,3.7097,3.7097
