"generation","hypervolume","best_so_far"
0,3.614,3.614
1,3.6649,3.6649
2,3.6751,3.6751
3,3.6754,3.6754
4,3.6836,3.6836
5,3.6841,3.6841
6,3.6843,3.6843
7,3.6894,3.6894
8,3.6894,3.6894
9,3.6898,3.6898
10,3.6899,3.6899
11,3.6914,3.6914
12,3.6923,3.6923
13,3.6924,3.6924
14,3.6931,3.6931
15,3.6935,3.6935
16,3.6936,3.6936
17,3.6937,3.6937
18,3.6938,3.6938
19,3.6939,3.6939
20,3.6939,3.6939
21,3.6939,3.6939
22,3.6941,3.6941
23,3.6941,3.6941
24,3.6942,3.6942
25,3.6942,3.6942
26,3.6944,3.6944
27,3.6945,3.6945
28,3.6945,3.6945
29,3.6951,3.6951
30,3.6952,3.6952
31,3.6952,3.6952
32,3.6953,3.6953
33,3.6953,3.6953
34,3.6953,3.6953
35,3.6954,3.6954
36,3.6965,3.6965
37,3.6965,3.6965
38,3.6966,3.6966
39,3.6972,3.6972
40,3.6972,3.6972
41,3.6973,3.6973
42,3.6973,3.6973
43,3.6974,3.6974
44,3.6974,3.6974
45,3.6976,3.6976
46,3.6976,3.6976
47,3.6977,3.6977
48,3.6977,3.6977
49,3.6977,3.6977
50,3.6977,3.6977
51,3.6978,3.6978
52,3.6978,3.6978
53,3.6978,3.6978
54,3.6978,3.6978
55,3.6978,3.6978
56,3.6978,3.6978
57,3.6978,3.6978
58,3.6978,3.6978
59,3.6979,3.6979
60,3.6979,3.6979
61,3.6979,3.6979
62,3.6979,3.6979
63,3.6979,3.6979
64,3.7004,3.7004
65,3.7004,3.7004
66,3.7005,3.7005
67,3.7005,3.7005
68,3.7005,3.7005
69,3.7005,3.7005
70,3.7005,3.7005
71,3.7005,3.7005
72,3.7005,3.7005
73,3.7006,3.7006
74,3.7006,3.7006
75,3.7006,3.7006
76,3.7007,3.7007
77,3.7007,3.7007
78,3.7007,3.7007
79,3.7007,3.7007
80,3.7007,3.7007
81,3.7007,3.7007
82,3.7008,3.7008
83,3.7008,3.7008
84,3.7008,3.7008
85,3.7008,3.7008
86,3.7008,3.7008
87,3.7009,3.7009
88,3.7009,3.7009
89,3.7009,3.7009
90,3.7009,3.7009
91,3.7009,3.7009
92,3.7009,3.7009
93,3.7009,3.7009
94,3.7009,3.7009
95,3.7009,3.7009
96,3.7009,3.7009
97,3.7009,3.7009
98,3.7016,3.7016
99,3.7016,3.7016
100,3.7016,3.7016
101,3.7016,3.7016
102,3.7067,3.7067
103,3.7067,3.7067
104,3.7067,3.7067
105,3.7067,3.7067
106,3.7067,3.7067
107,3.7067,3.7067
108,3.7067,3.7067
109,3.7068,3.7068
110,3.7068,3.7068
111,3.7068,3.7068
112,3.7068,3.7068
113,3.7068,3.7068
114,3.7068,3.7068
115,3.7068,3.7068
116,3.7069,3.7069
117,3.7069,3.7069
118,3.7069,3.7069
119,3.7069,3.7069
120,3.7069,3.7069
121,3.7069,3.7069
122,3.7069,3.7069
123,3.707,3.707
124,3.707,3.707
125,3.7069,3.707
126,3.707,3.707
127,3.7072,3.7072
128,3.7072,3.7072
129,3.7072,3.7072
130,3.7072,3.7072
131,3.7072,3.7072
132,3.7072,3.7072
133,3.7072,3.7072
134,3.7072,3.7072
135,3.7072,3.7072
136,3.7072,3.7072
137,3.7072,3.7072
138,3.7072,3.7072
139,3.7073,3.7073
140,3.7073,3.7073
141,3.7073,3.7073
142,3.7073,3.7073
143,3.7073,3.7073
144,3.7073,3.7073
145,3.7073,3.7073
146,3.7073,3.7073
147,3.7073,3.7073
148,3.7073,3.7073
149,3.7073,3.7073
150,3.7073,3.7073
