"iteration","current","best_so_far"
293,2.0949,3.61
294,1.8379,3.61
295,1.5719,3.61
296,1.8935,3.61
297,1.8848,3.61
298,1.4576,3.61
299,1.5035,3.61
300,1.5096,3.61
301,1.4917,3.61
302,1.541,3.61
303,1.5028,3.61
304,1.4784,3.61
305,1.4008,3.61
306,1.7294,3.61
307,1.9061,3.61
308,1.9067,3.61
309,1.571,3.61
310,1.5442,3.61
311,1.5459,3.61
312,1.5379,3.61
313,1.8635,3.61
314,1.869,3.61
315,1.8319,3.61
316,1.9269,3.61
317,1.9277,3.61
318,2.0222,3.61
319,1.7298,3.61
320,2.0036,3.61
321,1.7857,3.61
322,1.5984,3.61
323,1.6618,3.61
324,1.7303,3.61
325,1.7287,3.61
326,1.9599,3.61
327,2.0289,3.61
328,1.5855,3.61
329,1.7265,3.61
330,1.6723,3.61
331,1.7898,3.61
332,1.7636,3.61
333,2.0151,3.61
334,1.663,3.61
335,1.7275,3.61
336,1.8686,3.61
337,1.4864,3.61
338,1.7955,3.61
339,1.6376,3.61
340,2.0388,3.61
341,2.0181,3.61
342,1.9041,3.61
343,1.5888,3.61
344,1.6068,3.61
345,1.6779,3.61
346,1.7434,3.61
347,1.7332,3.61
348,1.784,3.61
349,1.9738,3.61
350,2.0781,3.61
351,1.853,3.61
352,1.8617,3.61
353,1.9754,3.61
354,1.9702,3.61
355,2.0081,3.61
356,1.9652,3.61
357,1.9553,3.61
358,1.9548,3.61
359,1.9498,3.61
360,1.9419,3.61
361,1.7766,3.61
362,1.9664,3.61
363,1.7741,3.61
364,1.8093,3.61
365,1.8255,3.61
366,1.7715,3.61
367,1.7874,3.61
368,1.8555,3.61
369,1.7658,3.61
370,1.8493,3.61
371,1.8243,3.61
372,1.8454,3.61
373,1.9529,3.61
374,1.8517,3.61
375,1.9844,3.61
376,1.9547,3.61
377,1.9187,3.61
378,1.9091,3.61
379,1.8601,3.61
380,1.8345,3.61
381,1.8082,3.61
382,1.883,3.61
383,1.796,3.61
384,1.8322,3.61
385,1.7044,3.61
386,1.7002,3.61
387,1.6422,3.61
388,1.7868,3.61
389,1.6261,3.61
390,1.7017,3.61
391,1.7096,3.61
392,1.7204,3.61
393,1.6796,3.61
394,1.6754,3.61
395,1.7189,3.61
396,1.7569,3.61
397,1.7643,3.61
398,1.705,3.61
399,1.6125,3.61
400,1.6278,3.61
401,1.8416,3.61
402,1.7461,3.61
403,1.8806,3.61
404,1.8636,3.61
405,1.7791,3.61
406,1.8565,3.61
407,1.901,3.61
408,1.8649,3.61
409,1.8958,3.61
410,1.9239,3.61
411,1.9298,3.61
412,1.856,3.61
413,1.999,3.61
414,1.999,3.61
415,1.96,3.61
416,1.997,3.61
417,1.9972,3.61
418,1.4962,3.61
419,1.6618,3.61
420,1.6176,3.61
421,1.864,3.61
422,1.9787,3.61
423,2.0144,3.61
424,1.7751,3.61
425,1.8826,3.61
426,1.9168,3.61
427,1.3566,3.61
428,1.5253,3.61
429,1.4856,3.61
430,1.8972,3.61
431,1.7991,3.61
432,1.4609,3.61
433,1.4511,3.61
434,1.4401,3.61
435,1.5922,3.61
436,1.5488,3.61
437,1.5814,3.61
438,1.6982,3.61
439,1.6971,3.61
440,1.7099,3.61
441,1.7231,3.61
442,1.56,3.61
443,1.6985,3.61
444,1.4746,3.61
445,1.7844,3.61
446,1.6881,3.61
447,1.7932,3.61
448,1.8778,3.61
449,1.843,3.61
450,1.7589,3.61
451,1.7589,3.61
452,1.7198,3.61
453,1.7302,3.61
454,1.9951,3.61
455,1.9951,3.61
456,1.8456,3.61
457,1.8437,3.61
458,1.8822,3.61
459,2.1144,3.61
460,1.9456,3.61
461,1.779,3.61
462,1.7993,3.61
463,2.0939,3.61
464,2.0939,3.61
465,1.9262,3.61
466,1.9978,3.61
467,2.2899,3.61
468,2.3336,3.61
469,2.2735,3.61
470,2.3394,3.61
471,2.2274,3.61
472,2.1734,3.61
473,2.1734,3.61
474,2.1734,3.61
475,2.1767,3.61
476,2.1767,3.61
477,2.1271,3.61
478,2.0648,3.61
479,1.9897,3.61
480,2.0736,3.61
481,2.0984,3.61
482,2.214,3.61
483,2.214,3.61
484,1.8429,3.61
485,1.5878,3.61
486,1.6549,3.61
487,1.7471,3.61
488,1.8098,3.61
489,1.8924,3.61
490,1.764,3.61
491,1.7345,3.61
492,1.5714,3.61
493,1.7553,3.61
494,1.9317,3.61
495,2.1642,3.61
496,1.9612,3.61
497,1.9612,3.61
498,2.0699,3.61
499,1.8026,3.61
500,2.0557,3.61
501,1.9518,3.61
502,1.9171,3.61
503,1.9762,3.61
504,2.0467,3.61
505,1.9867,3.61
506,1.9741,3.61
507,1.9406,3.61
508,2.0115,3.61
509,2.0617,3.61
510,2.0841,3.61
511,2.1033,3.61
512,2.1199,3.61
513,2.0067,3.61
514,1.9965,3.61
515,2.1485,3.61
516,2.1358,3.61
517,2.1136,3.61
518,2.1042,3.61
519,2.2564,3.61
520,2.2367,3.61
521,2.2335,3.61
522,2.2086,3.61
523,2.2246,3.61
524,2.186,3.61
525,2.1519,3.61
526,2.164,3.61
527,2.025,3.61
528,1.9565,3.61
529,2.0048,3.61
530,1.9792,3.61
531,2.1563,3.61
532,2.134,3.61
533,2.0926,3.61
534,2.2491,3.61
535,2.1988,3.61
536,2.0077,3.61
537,2.0243,3.61
538,2.0417,3.61
539,2.0174,3.61
540,2.0174,3.61
541,2.1778,3.61
542,1.9819,3.61
543,2.0421,3.61
544,1.9304,3.61
545,1.8125,3.61
546,1.8203,3.61
547,1.9667,3.61
548,1.9226,3.61
549,1.9333,3.61
550,1.9017,3.61
551,1.9263,3.61
552,1.9704,3.61
553,1.9857,3.61
554,1.9389,3.61
555,1.8967,3.61
556,1.8967,3.61
557,1.7942,3.61
558,1.8729,3.61
559,1.8729,3.61
560,1.882,3.61
561,1.8191,3.61
562,1.7291,3.61
563,1.9609,3.61
564,1.929,3.61
565,1.8973,3.61
566,1.9954,3.61
567,2.0149,3.61
568,2.135,3.61
569,2.135,3.61
570,2.0926,3.61
571,2.0643,3.61
572,1.8692,3.61
573,2.0364,3.61
574,1.8829,3.61
575,1.9413,3.61
576,1.9221,3.61
577,1.8946,3.61
578,1.634,3.61
579,1.8387,3.61
580,1.8016,3.61
581,1.825,3.61
582,1.7439,3.61
583,1.7934,3.61
584,1.8049,3.61
585,1.8049,3.61
586,1.7377,3.61
587,1.7509,3.61
588,1.7489,3.61
589,1.6155,3.61
590,1.6342,3.61
591,1.6518,3.61
592,1.6631,3.61
593,1.9281,3.61
594,1.982,3.61
595,1.9007,3.61
596,1.8828,3.61
597,1.8183,3.61
598,1.818,3.61
599,1.8923,3.61
600,1.7896,3.61
601,1.8501,3.61
602,1.8567,3.61
603,1.9042,3.61
604,1.8925,3.61
605,1.8897,3.61
606,1.9937,3.61
607,1.8865,3.61
608,1.8501,3.61
609,1.9148,3.61
610,1.8867,3.61
611,1.6751,3.61
612,1.6934,3.61
613,1.7229,3.61
614,1.6931,3.61
615,1.6907,3.61
616,1.6618,3.61
617,1.7328,3.61
618,1.625,3.61
619,1.6908,3.61
620,1.6908,3.61
621,1.6464,3.61
622,1.6776,3.61
623,1.79,3.61
624,1.718,3.61
625,1.6424,3.61
626,1.5192,3.61
627,1.6454,3.61
628,1.7543,3.61
629,1.8389,3.61
630,1.8348,3.61
631,1.8456,3.61
632,1.7749,3.61
633,1.5933,3.61
634,1.729,3.61
635,1.6073,3.61
636,1.5659,3.61
637,1.4454,3.61
638,1.6125,3.61
639,1.5177,3.61
640,1.579,3.61
641,1.579,3.61
642,1.6157,3.61
643,1.6344,3.61
644,1.6046,3.61
645,1.5271,3.61
646,1.4761,3.61
647,1.3833,3.61
648,1.4876,3.61
649,1.5893,3.61
650,1.6337,3.61
651,1.5771,3.61
652,1.5573,3.61
653,1.458,3.61
654,1.4213,3.61
655,1.3967,3.61
656,1.4873,3.61
657,1.5285,3.61
658,1.5959,3.61
659,1.5879,3.61
660,1.6146,3.61
661,1.6159,3.61
662,1.7066,3.61
663,1.6156,3.61
664,1.5291,3.61
665,1.5291,3.61
666,1.4514,3.61
667,1.433,3.61
668,1.433,3.61
669,1.3412,3.61
670,1.264,3.61
671,1.412,3.61
672,1.3668,3.61
673,1.2419,3.61
674,1.1341,3.61
675,0.9893,3.61
676,0.9383,3.61
677,1.146,3.61
678,0.8996,3.61
679,0.8174,3.61
680,0.9783,3.61
681,0.9363,3.61
682,0.9671,3.61
683,0.878,3.61
684,0.969,3.61
685,1.0839,3.61
686,1.1918,3.61
687,1.2942,3.61
688,1.3965,3.61
689,1.3883,3.61
690,1.4078,3.61
691,1.3677,3.61
692,1.3677,3.61
693,1.2751,3.61
694,1.2492,3.61
695,1.2428,3.61
696,1.3173,3.61
697,1.2283,3.61
698,1.1966,3.61
699,1.2823,3.61
700,1.1967,3.61
701,1.2723,3.61
702,1.2644,3.61
703,1.1939,3.61
704,1.1557,3.61
705,1.1797,3.61
706,1.1575,3.61
707,1.446,3.61
708,1.331,3.61
709,0.884,3.61
710,1.3271,3.61
711,1.407,3.61
712,1.407,3.61
713,1.0167,3.61
714,1.107,3.61
715,1.0463,3.61
716,0.9315,3.61
717,0.9256,3.61
718,1.091,3.61
719,1.1974,3.61
720,1.2432,3.61
721,1.3351,3.61
722,1.3864,3.61
723,1.3864,3.61
724,1.3864,3.61
725,1.2651,3.61
726,1.3249,3.61
727,1.4048,3.61
728,1.3744,3.61
729,1.3243,3.61
730,1.319,3.61
731,1.3535,3.61
732,1.5199,3.61
733,1.5384,3.61
734,1.657,3.61
735,1.657,3.61
736,1.5468,3.61
737,1.5468,3.61
738,1.5644,3.61
739,1.6474,3.61
740,1.6532,3.61
741,1.6532,3.61
742,1.6334,3.61
743,1.7198,3.61
744,1.7467,3.61
745,1.6536,3.61
746,1.7102,3.61
747,1.7266,3.61
748,1.8249,3.61
749,1.7996,3.61
750,1.7806,3.61
751,1.6271,3.61
752,1.747,3.61
753,1.7208,3.61
754,1.6983,3.61
755,1.8073,3.61
756,1.8745,3.61
757,1.9402,3.61
758,1.8983,3.61
759,1.9073,3.61
760,1.8331,3.61
761,1.8705,3.61
762,1.9615,3.61
763,1.9504,3.61
764,1.9493,3.61
765,1.9493,3.61
766,1.9493,3.61
767,1.8947,3.61
768,1.9408,3.61
769,1.7913,3.61
770,1.9342,3.61
771,1.963,3.61
772,1.8235,3.61
773,1.8115,3.61
774,1.9226,3.61
775,1.948,3.61
776,1.9573,3.61
777,1.8001,3.61
778,1.8851,3.61
779,1.9427,3.61
780,2.0128,3.61
781,2.0622,3.61
782,2.0509,3.61
783,1.8756,3.61
784,1.8766,3.61
785,1.8148,3.61
786,1.8473,3.61
787,1.8234,3.61
788,1.8259,3.61
789,1.8259,3.61
790,1.7643,3.61
791,1.921,3.61
792,1.9544,3.61
793,1.9784,3.61
794,2.0031,3.61
795,1.8335,3.61
796,1.7813,3.61
797,1.888,3.61
798,1.888,3.61
799,1.6436,3.61
800,1.8827,3.61
801,1.6421,3.61
802,1.7063,3.61
803,1.7075,3.61
804,1.7492,3.61
805,1.6837,3.61
806,1.6837,3.61
807,1.6732,3.61
808,1.6489,3.61
809,1.6684,3.61
810,1.7536,3.61
811,1.7823,3.61
812,1.7465,3.61
813,1.7746,3.61
814,1.7362,3.61
815,1.7269,3.61
816,1.6474,3.61
817,1.6568,3.61
818,1.701,3.61
819,1.7616,3.61
820,1.7692,3.61
821,1.9703,3.61
822,2.0796,3.61
823,1.8937,3.61
824,2.1498,3.61
825,2.1407,3.61
826,2.1407,3.61
827,2.1407,3.61
828,2.1261,3.61
829,1.9152,3.61
830,1.9642,3.61
831,1.9031,3.61
832,2.098,3.61
833,2.0341,3.61
834,2.0341,3.61
835,2.0588,3.61
836,2.1002,3.61
837,2.0405,3.61
838,2.1158,3.61
839,2.1831,3.61
840,2.0471,3.61
841,2.0994,3.61
842,2.2387,3.61
843,2.1046,3.61
844,2.1046,3.61
845,2.1306,3.61
846,2.1094,3.61
847,1.9743,3.61
848,2.2501,3.61
849,2.1105,3.61
850,1.8795,3.61
851,2.0719,3.61
852,2.0197,3.61
853,2.109,3.61
854,2.0613,3.61
855,2.0814,3.61
856,2.0848,3.61
857,2.2471,3.61
858,2.2065,3.61
859,2.2224,3.61
860,2.2321,3.61
861,2.1914,3.61
862,2.1629,3.61
863,2.1629,3.61
864,2.1599,3.61
865,2.1599,3.61
866,2.1901,3.61
867,2.1883,3.61
868,2.1883,3.61
869,2.1883,3.61
870,2.1322,3.61
871,2.1137,3.61
872,2.0719,3.61
873,2.0837,3.61
874,2.0656,3.61
875,2.0323,3.61
876,2.0612,3.61
877,2.0515,3.61
878,1.9573,3.61
879,1.9573,3.61
880,2.0046,3.61
881,2.0178,3.61
882,2.0729,3.61
883,2.0801,3.61
884,2.0718,3.61
885,2.0718,3.61
886,2.0379,3.61
887,2.0728,3.61
888,1.9844,3.61
889,2.0096,3.61
890,2.0096,3.61
891,2.0094,3.61
892,1.9916,3.61
893,1.9216,3.61
894,1.9057,3.61
895,1.9353,3.61
896,1.9733,3.61
897,1.9674,3.61
898,1.9997,3.61
899,2.0221,3.61
900,2.0166,3.61
901,2.1394,3.61
902,2.1394,3.61
903,2.1397,3.61
904,2.1535,3.61
905,2.1779,3.61
906,2.1779,3.61
907,2.1754,3.61
908,2.1754,3.61
909,2.1754,3.61
910,2.1754,3.61
911,2.1754,3.61
912,2.1754,3.61
913,2.1754,3.61
914,2.1778,3.61
915,2.1778,3.61
916,2.1987,3.61
917,2.1987,3.61
918,2.2219,3.61
919,2.2219,3.61
920,2.2553,3.61
921,2.2658,3.61
922,2.2617,3.61
923,2.2617,3.61
924,2.2617,3.61
925,2.2617,3.61
926,2.2617,3.61
927,2.2617,3.61
928,2.2617,3.61
929,2.2617,3.61
930,2.2726,3.61
931,2.2736,3.61
932,2.2766,3.61
933,2.2811,3.61
934,2.2811,3.61
935,2.2811,3.61
936,2.2811,3.61
937,2.2811,3.61
938,2.2811,3.61
939,2.2811,3.61
940,2.2811,3.61
941,2.2811,3.61
942,2.2943,3.61
943,2.2943,3.61
944,2.2943,3.61
945,2.2959,3.61
946,2.2959,3.61
947,2.296,3.61
948,2.3044,3.61
949,2.315,3.61
950,2.315,3.61
951,2.315,3.61
952,2.315,3.61
953,2.3322,3.61
954,2.3322,3.61
955,2.3322,3.61
956,2.3322,3.61
957,2.3322,3.61
958,2.3322,3.61
959,2.3322,3.61
960,2.3322,3.61
961,2.3322,3.61
962,2.3322,3.61
963,2.3322,3.61
964,2.3436,3.61
965,2.3436,3.61
966,2.3436,3.61
967,2.3436,3.61
968,2.3436,3.61
969,2.3436,3.61
970,2.3422,3.61
971,2.3422,3.61
972,2.3512,3.61
973,2.3546,3.61
974,2.3546,3.61
975,2.3546,3.61
976,2.3546,3.61
977,2.3546,3.61
978,2.3546,3.61
979,2.3546,3.61
980,2.353,3.61
981,2.3451,3.61
982,2.3451,3.61
983,2.3451,3.61
984,2.3451,3.61
985,2.3521,3.61
986,2.3521,3.61
987,2.3521,3.61
988,2.3521,3.61
989,2.3521,3.61
990,2.3521,3.61
991,2.3521,3.61
992,2.3521,3.61
993,2.3521,3.61
994,2.3462,3.61
995,2.3462,3.61
996,2.3462,3.61
997,2.3533,3.61
998,2.3533,3.61
999,2.3533,3.61
1000,2.3624,3.61
1001,2.3624,3.61
1002,2.3624,3.61
1003,2.3624,3.61
1004,2.3624,3.61
1005,2.3753,3.61
1006,2.3753,3.61
1007,2.3753,3.61
1008,2.3753,3.61
1009,2.3753,3.61
1010,2.3753,3.61
1011,2.3753,3.61
1012,2.3753,3.61
1013,2.3767,3.61
1014,2.3767,3.61
1015,2.3763,3.61
1016,2.3763,3.61
1017,2.3763,3.61
1018,2.3763,3.61
1019,2.3763,3.61
1020,2.3763,3.61
1021,2.3843,3.61
1022,2.3994,3.61
1023,2.3994,3.61
1024,2.3994,3.61
1025,2.3994,3.61
1026,2.3994,3.61
1027,2.3994,3.61
1028,2.4024,3.61
1029,2.4024,3.61
1030,2.4024,3.61
1031,2.4024,3.61
1032,2.4024,3.61
1033,2.4024,3.61
1034,2.4024,3.61
1035,2.4024,3.61
1036,2.4024,3.61
1037,2.4024,3.61
1038,2.4024,3.61
1039,2.3866,3.61
1040,2.3866,3.61
1041,2.3866,3.61
1042,2.3866,3.61
1043,2.4006,3.61
1044,2.4006,3.61
1045,2.4006,3.61
1046,2.4006,3.61
1047,2.4006,3.61
1048,2.4006,3.61
1049,2.4021,3.61
1050,2.4021,3.61
1051,2.4021,3.61
1052,2.4021,3.61
1053,2.4021,3.61
1054,2.4204,3.61
1055,2.4226,3.61
1056,2.425,3.61
1057,2.425,3.61
1058,2.4565,3.61
1059,2.4565,3.61
1060,2.4565,3.61
1061,2.4565,3.61
1062,2.4565,3.61
1063,2.4583,3.61
1064,2.4583,3.61
1065,2.4583,3.61
1066,2.4583,3.61
1067,2.4583,3.61
1068,2.4583,3.61
1069,2.4583,3.61
1070,2.4583,3.61
1071,2.4655,3.61
1072,2.4655,3.61
1073,2.4626,3.61
1074,2.4626,3.61
1075,2.4657,3.61
1076,2.4657,3.61
1077,2.4657,3.61
1078,2.4657,3.61
1079,2.4657,3.61
1080,2.4657,3.61
1081,2.4657,3.61
1082,2.4657,3.61
1083,2.463,3.61
1084,2.463,3.61
1085,2.463,3.61
1086,2.472,3.61
1087,2.4663,3.61
1088,2.4663,3.61
1089,2.4663,3.61
1090,2.4663,3.61
1091,2.4663,3.61
1092,2.4663,3.61
1093,2.4663,3.61
1094,2.4663,3.61
1095,2.4663,3.61
1096,2.4663,3.61
1097,2.4663,3.61
1098,2.4663,3.61
1099,2.4663,3.61
1100,2.4663,3.61
1101,2.4663,3.61
1102,2.4663,3.61
1103,2.4663,3.61
1104,2.4691,3.61
1105,2.4701,3.61
1106,2.471,3.61
1107,2.4764,3.61
1108,2.4764,3.61
1109,2.487,3.61
1110,2.487,3.61
1111,2.487,3.61
1112,2.487,3.61
1113,2.4865,3.61
1114,2.4805,3.61
1115,2.4982,3.61
1116,2.4982,3.61
1117,2.4982,3.61
1118,2.4982,3.61
1119,2.4982,3.61
1120,2.4982,3.61
1121,2.4982,3.61
1122,2.4982,3.61
1123,2.4982,3.61
1124,2.4992,3.61
1125,2.4992,3.61
1126,2.4992,3.61
1127,2.4992,3.61
1128,2.4992,3.61
1129,2.5021,3.61
1130,2.5021,3.61
1131,2.5021,3.61
1132,2.5021,3.61
1133,2.5021,3.61
1134,2.5021,3.61
1135,2.5021,3.61
1136,2.5021,3.61
1137,2.5021,3.61
1138,2.5021,3.61
1139,2.5021,3.61
1140,2.5021,3.61
1141,2.5021,3.61
1142,2.5021,3.61
1143,2.5021,3.61
1144,2.5021,3.61
1145,2.5021,3.61
1146,2.5021,3.61
1147,2.5021,3.61
1148,2.5021,3.61
1149,2.5021,3.61
1150,2.5021,3.61
1151,2.5021,3.61
1152,2.5021,3.61
1153,2.5021,3.61
1154,2.5021,3.61
1155,2.504,3.61
1156,2.504,3.61
1157,2.504,3.61
1158,2.504,3.61
1159,2.504,3.61
1160,2.504,3.61
1161,2.504,3.61
1162,2.504,3.61
1163,2.5037,3.61
1164,2.5037,3.61
1165,2.5037,3.61
1166,2.5022,3.61
1167,2.5022,3.61
1168,2.5022,3.61
1169,2.5022,3.61
1170,2.5022,3.61
1171,2.5022,3.61
1172,2.5022,3.61
1173,2.5022,3.61
1174,2.5066,3.61
1175,2.5066,3.61
1176,2.5066,3.61
1177,2.4981,3.61
1178,2.4981,3.61
1179,2.4999,3.61
1180,2.4999,3.61
1181,2.4999,3.61
1182,2.4999,3.61
1183,2.4999,3.61
1184,2.5019,3.61
1185,2.5019,3.61
1186,2.5019,3.61
1187,2.5019,3.61
1188,2.5019,3.61
1189,2.5019,3.61
1190,2.5019,3.61
1191,2.5019,3.61
1192,2.5019,3.61
1193,2.5019,3.61
1194,2.5019,3.61
1195,2.5019,3.61
1196,2.5019,3.61
1197,2.5019,3.61
1198,2.5019,3.61
1199,2.5019,3.61
1200,2.5019,3.61
1201,2.498,3.61
1202,2.498,3.61
1203,2.498,3.61
1204,2.498,3.61
1205,2.5144,3.61
1206,2.5144,3.61
1207,2.5144,3.61
1208,2.5207,3.61
1209,2.5207,3.61
1210,2.5207,3.61
1211,2.5207,3.61
1212,2.5207,3.61
1213,2.5207,3.61
1214,2.5207,3.61
1215,2.5207,3.61
1216,2.5207,3.61
1217,2.5207,3.61
1218,2.5207,3.61
1219,2.5207,3.61
1220,2.5207,3.61
1221,2.5207,3.61
1222,2.5207,3.61
1223,2.5207,3.61
1224,2.5207,3.61
1225,2.5207,3.61
1226,2.5207,3.61
1227,2.5207,3.61
1228,2.5207,3.61
1229,2.5207,3.61
1230,2.5107,3.61
1231,2.5124,3.61
1232,2.5124,3.61
1233,2.5124,3.61
1234,2.5124,3.61
1235,2.5124,3.61
1236,2.5122,3.61
1237,2.5122,3.61
1238,2.5122,3.61
1239,2.5122,3.61
1240,2.5123,3.61
1241,2.5123,3.61
1242,2.5123,3.61
