"generation","hypervolume","best_so_far"
0,3.6148,3.6148
1,3.6642,3.6642
2,3.6725,3.6725
3,3.6768,3.6768
4,3.6771,3.6771
5,3.6882,3.6882
6,3.6891,3.6891
7,3.6895,3.6895
8,3.6907,3.6907
9,3.6907,3.6907
10,3.6911,3.6911
11,3.6912,3.6912
12,3.6912,3.6912
13,3.6937,3.6937
14,3.6938,3.6938
15,3.694,3.694
16,3.694,3.694
17,3.694,3.694
18,3.694,3.694
19,3.6941,3.6941
20,3.6941,3.6941
21,3.6941,3.6941
22,3.6941,3.6941
23,3.6941,3.6941
24,3.6948,3.6948
25,3.6948,3.6948
26,3.6956,3.6956
27,3.6958,3.6958
28,3.6977,3.6977
29,3.6978,3.6978
30,3.6978,3.6978
31,3.6978,3.6978
32,3.6978,3.6978
33,3.6978,3.6978
34,3.6979,3.6979
35,3.6979,3.6979
36,3.6979,3.6979
37,3.6979,3.6979
38,3.6979,3.6979
39,3.6981,3.6981
40,3.6982,3.6982
41,3.6982,3.6982
42,3.6982,3.6982
43,3.6982,3.6982
44,3.6982,3.6982
45,3.6982,3.6982
46,3.6982,3.6982
47,3.6983,3.6983
48,3.6984,3.6984
49,3.6985,3.6985
50,3.6985,3.6985
51,3.6985,3.6985
52,3.6986,3.6986
53,3.7021,3.7021
54,3.7021,3.7021
55,3.7025,3.7025
56,3.7025,3.7025
57,3.7025,3.7025
58,3.7029,3.7029
59,3.7034,3.7034
60,3.7035,3.7035
61,3.7035,3.7035
62,3.7035,3.7035
63,3.7035,3.7035
64,3.7035,3.7035
65,3.7085,3.7085
66,3.7085,3.7085
67,3.7085,3.7085
68,3.7085,3.7085
69,3.7086,3.7086
70,3.7086,3.7086
71,3.7086,3.7086
72,3.7087,3.7087
73,3.7087,3.7087
74,3.7087,3.7087
75,3.7087,3.7087
76,3.7087,3.7087
77,3.7088,3.7088
78,3.7088,3.7088
79,3.7088,3.7088
80,3.7088,3.7088
81,3.7088,3.7088
82,3.7088,3.7088
83,3.7088,3.7088
84,3.7088,3.7088
85,3.7088,3.7088
86,3.7088,3.7088
87,3.7088,3.7088
88,3.7088,3.7088
89,3.7088,3.7088
90,3.7088,3.7088
91,3.7088,3.7088
92,3.7088,3.7088
93,3.7088,3.7088
94,3.7088,3.7088
95,3.7088,3.7088
96,3.7089,3.7089
97,3.7089,3.7089
98,3.7089,3.7089
99,3.709,3.709
100,3.7093,3.7093
101,3.7094,3.7094
102,3.7094,3.7094
103,3.7094,3.7094
104,3.7094,3.7094
105,3.7095,3.7095
106,3.7096,3.7096
107,3.7096,3.7096
108,3.7096,3.7096
109,3.7096,3.7096
110,3.7096,3.7096
111,3.7097,3.7097
112,3.7097,3.7097
113,3.7097,3.7097
114,3.7097,3.7097
115,3.7098,3.7098
116,3.7098,3.7098
117,3.7098,3.7098
118,3.7098,3.7098
119,3.7117,3.7117
120,3.7117,3.7117
121,3.7117,3.7117
122,3.7117,3.7117
123,3.7118,3.7118
124,3.7118,3.7118
125,3.7118,3.7118
126,3.7118,3.7118
127,3.7118,3.7118
128,3.7118,3.7118
129,3.7119,3.7119
130,3.7119,3.7119
131,3.7119,3.7119
132,3.7119,3.7119
133,3.7119,3.7119
134,3.7119,3.7119
135,3.7119,3.7119
136,3.7119,3.7119
137,3.7119,3.7119
138,3.7119,3.7119
139,3.7119,3.7119
140,3.7119,3.7119
141,3.7119,3.7119
142,3.712,3.712
143,3.712,3.712
144,3.713,3.713
145,3.713,3.713
146,3.713,3.713
147,3.715,3.715
148,3.715,3.715
149,3.715,3.715
150,3.715,3.715
