"corrida","hv_max","segundos"
1,3.7149,35.7087509632111
2,3.7105,35.4287378787994
3,3.7166,35.9759960174561
4,3.7097,35.7943329811096
5,3.7116,35.0185010433197
6,3.7141,35.903596162796
7,3.7089,36.2673761844635
8,3.715,35.625275850296
9,3.7073,35.8017840385437
10,3.707,36.008663892746
11,3.7157,35.7172620296478
