"generation","hypervolume","best_so_far"
0,3.6144,3.6144
1,3.6723,3.6723
2,3.6788,3.6788
3,3.6794,3.6794
4,3.685,3.685
5,3.6851,3.6851
6,3.6891,3.6891
7,3.6891,3.6891
8,3.6897,3.6897
9,3.6901,3.6901
10,3.6901,3.6901
11,3.6902,3.6902
12,3.6908,3.6908
13,3.6909,3.6909
14,3.6915,3.6915
15,3.6987,3.6987
16,3.6988,3.6988
17,3.6992,3.6992
18,3.6993,3.6993
19,3.6993,3.6993
20,3.6993,3.6993
21,3.6993,3.6993
22,3.6995,3.6995
23,3.6996,3.6996
24,3.6996,3.6996
25,3.6997,3.6997
26,3.6998,3.6998
27,3.6998,3.6998
28,3.6999,3.6999
29,3.6999,3.6999
30,3.6999,3.6999
31,3.6999,3.6999
32,3.7,3.7
33,3.7001,3.7001
34,3.7001,3.7001
35,3.7003,3.7003
36,3.7003,3.7003
37,3.7004,3.7004
38,3.7009,3.7009
39,3.701,3.701
40,3.7013,3.7013
41,3.7013,3.7013
42,3.7014,3.7014
43,3.7015,3.7015
44,3.7016,3.7016
45,3.7016,3.7016
46,3.7017,3.7017
47,3.7047,3.7047
48,3.7047,3.7047
49,3.7047,3.7047
50,3.7047,3.7047
51,3.7048,3.7048
52,3.7048,3.7048
53,3.7048,3.7048
54,3.7048,3.7048
55,3.7048,3.7048
56,3.7048,3.7048
57,3.705,3.705
58,3.7051,3.7051
59,3.7051,3.7051
60,3.7052,3.7052
61,3.7052,3.7052
62,3.7052,3.7052
63,3.7118,3.7118
64,3.7121,3.7121
65,3.7121,3.7121
66,3.7121,3.7121
67,3.7121,3.7121
68,3.7123,3.7123
69,3.7122,3.7123
70,3.7122,3.7123
71,3.7124,3.7124
72,3.7124,3.7124
73,3.7124,3.7124
74,3.7124,3.7124
75,3.7124,3.7124
76,3.7124,3.7124
77,3.7124,3.7124
78,3.7124,3.7124
79,3.7124,3.7124
80,3.7125,3.7125
81,3.7125,3.7125
82,3.7125,3.7125
83,3.7125,3.7125
84,3.7125,3.7125
85,3.7125,3.7125
86,3.7125,3.7125
87,3.7125,3.7125
88,3.7125,3.7125
89,3.7125,3.7125
90,3.7125,3.7125
91,3.7125,3.7125
92,3.7126,3.7126
93,3.7126,3.7126
94,3.7126,3.7126
95,3.7126,3.7126
96,3.7127,3.7127
97,3.7127,3.7127
98,3.7127,3.7127
99,3.7128,3.7128
100,3.7128,3.7128
101,3.7128,3.7128
102,3.7128,3.7128
103,3.7128,3.7128
104,3.7129,3.7129
105,3.7129,3.7129
106,3.7129,3.7129
107,3.7129,3.7129
108,3.7129,3.7129
109,3.7131,3.7131
110,3.7131,3.7131
111,3.7131,3.7131
112,3.7131,3.7131
113,3.7131,3.7131
114,3.7131,3.7131
115,3.7131,3.7131
116,3.7131,3.7131
117,3.7131,3.7131
118,3.7131,3.7131
119,3.7131,3.7131
120,3.7131,3.7131
121,3.7132,3.7132
122,3.7132,3.7132
123,3.7132,3.7132
124,3.7132,3.7132
125,3.7132,3.7132
126,3.7132,3.7132
127,3.7132,3.7132
128,3.7132,3.7132
129,3.7132,3.7132
130,3.7132,3.7132
131,3.7132,3.7132
132,3.7132,3.7132
133,3.7132,3.7132
134,3.7132,3.7132
135,3.7133,3.7133
136,3.7133,3.7133
137,3.7137,3.7137
138,3.7137,3.7137
139,3.7137,3.7137
140,3.7137,3.7137
141,3.7137,3.7137
142,3.7137,3.7137
143,3.7137,3.7137
144,3.7137,3.7137
145,3.7137,3.7137
146,3.7138,3.7138
147,3.7137,3.7138
148,3.7138,3.7138
149,3.7166,3.7166
150,3.7166,3.7166
