"generation","hypervolume","best_so_far"
0,3.6144,3.6144
1,3.6752,3.6752
2,3.6765,3.6765
3,3.681,3.681
4,3.6817,3.6817
5,3.6831,3.6831
6,3.6833,3.6833
7,3.6886,3.6886
8,3.6887,3.6887
9,3.6941,3.6941
10,3.6944,3.6944
11,3.6946,3.6946
12,3.6947,3.6947
13,3.6948,3.6948
14,3.6949,3.6949
15,3.698,3.698
16,3.6981,3.6981
17,3.6984,3.6984
18,3.6984,3.6984
19,3.6986,3.6986
20,3.6987,3.6987
21,3.6988,3.6988
22,3.6988,3.6988
23,3.6988,3.6988
24,3.6988,3.6988
25,3.6988,3.6988
26,3.6989,3.6989
27,3.6989,3.6989
28,3.6989,3.6989
29,3.6989,3.6989
30,3.699,3.699
31,3.699,3.699
32,3.699,3.699
33,3.6991,3.6991
34,3.6991,3.6991
35,3.6991,3.6991
36,3.6992,3.6992
37,3.6992,3.6992
38,3.6993,3.6993
39,3.6996,3.6996
40,3.7034,3.7034
41,3.7035,3.7035
42,3.7049,3.7049
43,3.7049,3.7049
44,3.7051,3.7051
45,3.7051,3.7051
46,3.7052,3.7052
47,3.7053,3.7053
48,3.7053,3.7053
49,3.7054,3.7054
50,3.7054,3.7054
51,3.7055,3.7055
52,3.7055,3.7055
53,3.7055,3.7055
54,3.7057,3.7057
55,3.7057,3.7057
56,3.7059,3.7059
57,3.7059,3.7059
58,3.7059,3.7059
59,3.7059,3.7059
60,3.7059,3.7059
61,3.7059,3.7059
62,3.7059,3.7059
63,3.7059,3.7059
64,3.706,3.706
65,3.706,3.706
66,3.706,3.706
67,3.706,3.706
68,3.706,3.706
69,3.706,3.706
70,3.7061,3.7061
71,3.7061,3.7061
72,3.7061,3.7061
73,3.7061,3.7061
74,3.7061,3.7061
75,3.7063,3.7063
76,3.7087,3.7087
77,3.7088,3.7088
78,3.7087,3.7088
79,3.7087,3.7088
80,3.7088,3.7088
81,3.7087,3.7088
82,3.7087,3.7088
83,3.7088,3.7088
84,3.7088,3.7088
85,3.7088,3.7088
86,3.7089,3.7089
87,3.7089,3.7089
88,3.7089,3.7089
89,3.7089,3.7089
90,3.7089,3.7089
91,3.709,3.709
92,3.709,3.709
93,3.7091,3.7091
94,3.7092,3.7092
95,3.7092,3.7092
96,3.7093,3.7093
97,3.7093,3.7093
98,3.7093,3.7093
99,3.7093,3.7093
100,3.7094,3.7094
101,3.7094,3.7094
102,3.7094,3.7094
103,3.7094,3.7094
104,3.7094,3.7094
105,3.7095,3.7095
106,3.7095,3.7095
107,3.7095,3.7095
108,3.7095,3.7095
109,3.7096,3.7096
110,3.7096,3.7096
111,3.7096,3.7096
112,3.7096,3.7096
113,3.7096,3.7096
114,3.7096,3.7096
115,3.7096,3.7096
116,3.7096,3.7096
117,3.7097,3.7097
118,3.7097,3.7097
119,3.7097,3.7097
120,3.7104,3.7104
121,3.7104,3.7104
122,3.7104,3.7104
123,3.7104,3.7104
124,3.7104,3.7104
125,3.7104,3.7104
126,3.7104,3.7104
127,3.7105,3.7105
128,3.7105,3.7105
129,3.7105,3.7105
130,3.7105,3.7105
131,3.7105,3.7105
132,3.7105,3.7105
133,3.7105,3.7105
134,3.7105,3.7105
135,3.7105,3.7105
136,3.7105,3.7105
137,3.7105,3.7105
138,3.7105,3.7105
139,3.7105,3.7105
140,3.7105,3.7105
141,3.7105,3.7105
142,3.7105,3.7105
143,3.7105,3.7105
144,3.7105,3.7105
145,3.7105,3.7105
146,3.7105,3.7105
147,3.7105,3.7105
148,3.7105,3.7105
149,3.7105,3.7105
150,3.7105,3.7105
