"generation","hypervolume","best_so_far"
0,3.614,3.614
1,3.6641,3.6641
2,3.678,3.678
3,3.6786,3.6786
4,3.6917,3.6917
5,3.6919,3.6919
6,3.692,3.692
7,3.6923,3.6923
8,3.6923,3.6923
9,3.6929,3.6929
10,3.6929,3.6929
11,3.6929,3.6929
12,3.6934,3.6934
13,3.6934,3.6934
14,3.6935,3.6935
15,3.6935,3.6935
16,3.6935,3.6935
17,3.6935,3.6935
18,3.6936,3.6936
19,3.6936,3.6936
20,3.6936,3.6936
21,3.6936,3.6936
22,3.6937,3.6937
23,3.6937,3.6937
24,3.6937,3.6937
25,3.6937,3.6937
26,3.6937,3.6937
27,3.6937,3.6937
28,3.6946,3.6946
29,3.6946,3.6946
30,3.6946,3.6946
31,3.6946,3.6946
32,3.6948,3.6948
33,3.6948,3.6948
34,3.6949,3.6949
35,3.6949,3.6949
36,3.6949,3.6949
37,3.695,3.695
38,3.6951,3.6951
39,3.6951,3.6951
40,3.6951,3.6951
41,3.6951,3.6951
42,3.6952,3.6952
43,3.6952,3.6952
44,3.6952,3.6952
45,3.6952,3.6952
46,3.6957,3.6957
47,3.6988,3.6988
48,3.6989,3.6989
49,3.6989,3.6989
50,3.6989,3.6989
51,3.6989,3.6989
52,3.6989,3.6989
53,3.6989,3.6989
54,3.6989,3.6989
55,3.6989,3.6989
56,3.6989,3.6989
57,3.6989,3.6989
58,3.7017,3.7017
59,3.7017,3.7017
60,3.7064,3.7064
61,3.7064,3.7064
62,3.7064,3.7064
63,3.7064,3.7064
64,3.7064,3.7064
65,3.7064,3.7064
66,3.7065,3.7065
67,3.7066,3.7066
68,3.708,3.708
69,3.708,3.708
70,3.708,3.708
71,3.708,3.708
72,3.708,3.708
73,3.7081,3.7081
74,3.7081,3.7081
75,3.7081,3.7081
76,3.7081,3.7081
77,3.7081,3.7081
78,3.7081,3.7081
79,3.7082,3.7082
80,3.7082,3.7082
81,3.7082,3.7082
82,3.7082,3.7082
83,3.7082,3.7082
84,3.7083,3.7083
85,3.7083,3.7083
86,3.7083,3.7083
87,3.7083,3.7083
88,3.7083,3.7083
89,3.7083,3.7083
90,3.7084,3.7084
91,3.7084,3.7084
92,3.7084,3.7084
93,3.7084,3.7084
94,3.7084,3.7084
95,3.7084,3.7084
96,3.7084,3.7084
97,3.7084,3.7084
98,3.7084,3.7084
99,3.7084,3.7084
100,3.7084,3.7084
101,3.7084,3.7084
102,3.7084,3.7084
103,3.7084,3.7084
104,3.7085,3.7085
105,3.7085,3.7085
106,3.7085,3.7085
107,3.7085,3.7085
108,3.7085,3.7085
109,3.7085,3.7085
110,3.7085,3.7085
111,3.7085,3.7085
112,3.7085,3.7085
113,3.7085,3.7085
114,3.7085,3.7085
115,3.7085,3.7085
116,3.7086,3.7086
117,3.7086,3.7086
118,3.7088,3.7088
119,3.7088,3.7088
120,3.7088,3.7088
121,3.7088,3.7088
122,3.7088,3.7088
123,3.7088,3.7088
124,3.7088,3.7088
125,3.7088,3.7088
126,3.7088,3.7088
127,3.7088,3.7088
128,3.7088,3.7088
129,3.7088,3.7088
130,3.7088,3.7088
131,3.7089,3.7089
132,3.7088,3.7089
133,3.7089,3.7089
134,3.7089,3.7089
135,3.7089,3.7089
136,3.7089,3.7089
137,3.7088,3.7089
138,3.7089,3.7089
139,3.7089,3.7089
140,3.7089,3.7089
141,3.7089,3.7089
142,3.7089,3.7089
143,3.7089,3.7089
144,3.7089,3.7089
145,3.7089,3.7089
146,3.7089,3.7089
147,3.7089,3.7089
148,3.7089,3.7089
149,3.7089,3.7089
150,3.7089,3.7089
