"generation","hypervolume","best_so_far"
0,3.6155,3.6155
1,3.6697,3.6697
2,3.6756,3.6756
3,3.6843,3.6843
4,3.6883,3.6883
5,3.6889,3.6889
6,3.6891,3.6891
7,3.6962,3.6962
8,3.6975,3.6975
9,3.6976,3.6976
10,3.6976,3.6976
11,3.698,3.698
12,3.698,3.698
13,3.6981,3.6981
14,3.6981,3.6981
15,3.6982,3.6982
16,3.6982,3.6982
17,3.6983,3.6983
18,3.6984,3.6984
19,3.6985,3.6985
20,3.6985,3.6985
21,3.6985,3.6985
22,3.6985,3.6985
23,3.6985,3.6985
24,3.6986,3.6986
25,3.6987,3.6987
26,3.6987,3.6987
27,3.6996,3.6996
28,3.6998,3.6998
29,3.6999,3.6999
30,3.7,3.7
31,3.7001,3.7001
32,3.7002,3.7002
33,3.7002,3.7002
34,3.7002,3.7002
35,3.7003,3.7003
36,3.7003,3.7003
37,3.7004,3.7004
38,3.7005,3.7005
39,3.7005,3.7005
40,3.7005,3.7005
41,3.7005,3.7005
42,3.7006,3.7006
43,3.7006,3.7006
44,3.7006,3.7006
45,3.7008,3.7008
46,3.7008,3.7008
47,3.7014,3.7014
48,3.7028,3.7028
49,3.7028,3.7028
50,3.7028,3.7028
51,3.7029,3.7029
52,3.7029,3.7029
53,3.7031,3.7031
54,3.7031,3.7031
55,3.7032,3.7032
56,3.7032,3.7032
57,3.7032,3.7032
58,3.7032,3.7032
59,3.7032,3.7032
60,3.7032,3.7032
61,3.7032,3.7032
62,3.7032,3.7032
63,3.7032,3.7032
64,3.7032,3.7032
65,3.7032,3.7032
66,3.7033,3.7033
67,3.7033,3.7033
68,3.7033,3.7033
69,3.7033,3.7033
70,3.7033,3.7033
71,3.7033,3.7033
72,3.7033,3.7033
73,3.7033,3.7033
74,3.7057,3.7057
75,3.7058,3.7058
76,3.7058,3.7058
77,3.7058,3.7058
78,3.7058,3.7058
79,3.7058,3.7058
80,3.7058,3.7058
81,3.7059,3.7059
82,3.7059,3.7059
83,3.7059,3.7059
84,3.7059,3.7059
85,3.7059,3.7059
86,3.7059,3.7059
87,3.7059,3.7059
88,3.7059,3.7059
89,3.706,3.706
90,3.706,3.706
91,3.706,3.706
92,3.706,3.706
93,3.706,3.706
94,3.706,3.706
95,3.706,3.706
96,3.706,3.706
97,3.706,3.706
98,3.706,3.706
99,3.706,3.706
100,3.7087,3.7087
101,3.7148,3.7148
102,3.7148,3.7148
103,3.7148,3.7148
104,3.7148,3.7148
105,3.7148,3.7148
106,3.7148,3.7148
107,3.7148,3.7148
108,3.7148,3.7148
109,3.7148,3.7148
110,3.7148,3.7148
111,3.7148,3.7148
112,3.7148,3.7148
113,3.7148,3.7148
114,3.7148,3.7148
115,3.7148,3.7148
116,3.7148,3.7148
117,3.7148,3.7148
118,3.7149,3.7149
119,3.7148,3.7149
120,3.7149,3.7149
121,3.7149,3.7149
122,3.7149,3.7149
123,3.7149,3.7149
124,3.7148,3.7149
125,3.7149,3.7149
126,3.7149,3.7149
127,3.7149,3.7149
128,3.7149,3.7149
129,3.7149,3.7149
130,3.7149,3.7149
131,3.7149,3.7149
132,3.7149,3.7149
133,3.7149,3.7149
134,3.7149,3.7149
135,3.7149,3.7149
136,3.7149,3.7149
137,3.7149,3.7149
138,3.7149,3.7149
139,3.7149,3.7149
140,3.7149,3.7149
141,3.7149,3.7149
142,3.7149,3.7149
143,3.7149,3.7149
144,3.7149,3.7149
145,3.7149,3.7149
146,3.7149,3.7149
147,3.7149,3.7149
148,3.7149,3.7149
149,3.7149,3.7149
150,3.7149,3.7149
