"corrida","hv_best","segundos"
1,3.61,19.7151479721069
2,3.61,19.5471041202545
3,3.61,19.6595959663391
4,3.61,19.5418000221252
5,3.61,19.7742929458618
6,3.61,19.7871420383453
7,3.61,19.6251831054688
8,3.61,19.6444780826569
9,3.61,19.7779870033264
10,3.61,19.750981092453
11,3.61,19.739893913269
