"generation","hypervolume","best_so_far"
0,3.614,3.614
1,3.6643,3.6643
2,3.6708,3.6708
3,3.6777,3.6777
4,3.6782,3.6782
5,3.679,3.679
6,3.6819,3.6819
7,3.6872,3.6872
8,3.6878,3.6878
9,3.688,3.688
10,3.6884,3.6884
11,3.6886,3.6886
12,3.689,3.689
13,3.6891,3.6891
14,3.6891,3.6891
15,3.6893,3.6893
16,3.6894,3.6894
17,3.6897,3.6897
18,3.6898,3.6898
19,3.6898,3.6898
20,3.6898,3.6898
21,3.6898,3.6898
22,3.6898,3.6898
23,3.69,3.69
24,3.69,3.69
25,3.69,3.69
26,3.69,3.69
27,3.6901,3.6901
28,3.6901,3.6901
29,3.6901,3.6901
30,3.6901,3.6901
31,3.6901,3.6901
32,3.6901,3.6901
33,3.6901,3.6901
34,3.6902,3.6902
35,3.6928,3.6928
36,3.6929,3.6929
37,3.6929,3.6929
38,3.6929,3.6929
39,3.693,3.693
40,3.693,3.693
41,3.693,3.693
42,3.6982,3.6982
43,3.6982,3.6982
44,3.6982,3.6982
45,3.6984,3.6984
46,3.6984,3.6984
47,3.6984,3.6984
48,3.6984,3.6984
49,3.6985,3.6985
50,3.6985,3.6985
51,3.6985,3.6985
52,3.6986,3.6986
53,3.6986,3.6986
54,3.6988,3.6988
55,3.6988,3.6988
56,3.6988,3.6988
57,3.6988,3.6988
58,3.6988,3.6988
59,3.6988,3.6988
60,3.6988,3.6988
61,3.6988,3.6988
62,3.6988,3.6988
63,3.6988,3.6988
64,3.6988,3.6988
65,3.7016,3.7016
66,3.7016,3.7016
67,3.7016,3.7016
68,3.7016,3.7016
69,3.7016,3.7016
70,3.7016,3.7016
71,3.7016,3.7016
72,3.7016,3.7016
73,3.7016,3.7016
74,3.7016,3.7016
75,3.7017,3.7017
76,3.7017,3.7017
77,3.7018,3.7018
78,3.7018,3.7018
79,3.7019,3.7019
80,3.7019,3.7019
81,3.7019,3.7019
82,3.7019,3.7019
83,3.7019,3.7019
84,3.7053,3.7053
85,3.7053,3.7053
86,3.7053,3.7053
87,3.7053,3.7053
88,3.7053,3.7053
89,3.7087,3.7087
90,3.7087,3.7087
91,3.7087,3.7087
92,3.7087,3.7087
93,3.7087,3.7087
94,3.7088,3.7088
95,3.7088,3.7088
96,3.7088,3.7088
97,3.7088,3.7088
98,3.7088,3.7088
99,3.7088,3.7088
100,3.7088,3.7088
101,3.7089,3.7089
102,3.7089,3.7089
103,3.7089,3.7089
104,3.7089,3.7089
105,3.7089,3.7089
106,3.7089,3.7089
107,3.7089,3.7089
108,3.7089,3.7089
109,3.7089,3.7089
110,3.7089,3.7089
111,3.7089,3.7089
112,3.7089,3.7089
113,3.7089,3.7089
114,3.7089,3.7089
115,3.7089,3.7089
116,3.7089,3.7089
117,3.7089,3.7089
118,3.7091,3.7091
119,3.7091,3.7091
120,3.7091,3.7091
121,3.7091,3.7091
122,3.7091,3.7091
123,3.7091,3.7091
124,3.711,3.711
125,3.711,3.711
126,3.7111,3.7111
127,3.7111,3.7111
128,3.7111,3.7111
129,3.7112,3.7112
130,3.7112,3.7112
131,3.7112,3.7112
132,3.7112,3.7112
133,3.7112,3.7112
134,3.7112,3.7112
135,3.7139,3.7139
136,3.7139,3.7139
137,3.714,3.714
138,3.714,3.714
139,3.714,3.714
140,3.714,3.714
141,3.714,3.714
142,3.714,3.714
143,3.714,3.714
144,3.714,3.714
145,3.7141,3.7141
146,3.7141,3.7141
147,3.7141,3.7141
148,3.7141,3.7141
149,3.7141,3.7141
150,3.7141,3.7141
